Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,21,1219,1240
 Rural,995,23500,24495
 Total,1016,24719,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,38,2369,2407
 Rural,1043,19424,20467
 Total,1081,21793,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,19,1058,1077
 Rural,1736,19260,20996
 Total,1755,20318,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,55,441,496
 Rural,622,3072,3694
 Total,677,3513,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,5,619,624
 Rural,215,3438,3653
 Total,220,4057,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,70,21478,21548
 Rural,1369,31432,32801
 Total,1439,52910,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,1142,1142
 Rural,743,31103,31846
 Total,743,32245,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,90,3481,3571
 Rural,1066,13888,14954
 Total,1156,17369,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,13,1113,1126
 Rural,1986,16817,18803
 Total,1999,17930,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,132,1079,1211
 Rural,631,5286,5917
 Total,763,6365,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,13,12567,12580
 Rural,444,12457,12901
 Total,457,25024,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,5,1042,1047
 Rural,400,7429,7829
 Total,405,8471,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,18,2337,2355
 Rural,18,2492,2510
 Total,36,4829,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1,714,715
 Rural,59,2330,2389
 Total,60,3044,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,3,283,286
 Rural,25,3451,3476
 Total,28,3734,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,857,54035,54892
 Rural,10714,41526,52240
 Total,11571,95561,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,161,3468,3629
 Rural,6798,22100,28898
 Total,6959,25568,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,554,3700,4254
 Rural,11261,30560,41821
 Total,11815,34260,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,338,4708,5046
 Rural,10259,21778,32037
 Total,10597,26486,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,580,12482,13062
 Rural,8401,23299,31700
 Total,8981,35781,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,514,6359,6873
 Rural,15230,29545,44775
 Total,15744,35904,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,598,8142,8740
 Rural,11212,25801,37013
 Total,11810,33943,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,181,4684,4865
 Rural,4698,12219,16917
 Total,4879,16903,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,253,21647,21900
 Rural,10242,25318,35560
 Total,10495,46965,57460
