Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Undergraduate diploma,45,164,209
 Graduate,1283,2563,3846
 Postgraduate diploma,69,117,186
 Master degree,20,34,54
 PhD,1,3,4
 Other,46,1513,1559
 Total,14877,133720,148597
NotApp :,14438,*,*
AREA # 140103,Kyonpyaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2009,18919,20928
 Grade 1,550,8334,8884
 Grade 2,934,12205,13139
 Grade 3,1375,19654,21029
 Grade 4,2002,22187,24189
 Grade 5,3342,48689,52031
 Grade 6,1365,12052,13417
 Grade 7,1213,9279,10492
 Grade 8,1404,9164,10568
 Grade 9,1426,8535,9961
 Grade 10,2293,7607,9900
 Grade 11,1182,6906,8088
 College,725,2103,2828
 Vocational training,15,103,118
 Undergraduate diploma,45,308,353
 Graduate,2055,3793,5848
 Postgraduate diploma,27,74,101
 Master degree,25,38,63
 PhD,4,3,7
 Other,243,2107,2350
 Total,22234,192060,214294
NotApp :,21433,*,*
AREA # 140104,Ngaputaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,639,16351,16990
 Grade 1,329,8133,8462
 Grade 2,445,11177,11622
 Grade 3,704,16034,16738
 Grade 4,1090,16701,17791
 Grade 5,1528,30258,31786
 Grade 6,645,8997,9642
 Grade 7,567,5996,6563
 Grade 8,492,5455,5947
 Grade 9,567,5678,6245
 Grade 10,655,4305,4960
 Grade 11,828,4101,4929
 College,315,1210,1525
 Vocational training,7,338,345
 Undergraduate diploma,19,190,209
 Graduate,877,2214,3091
 Postgraduate diploma,10,83,93
 Master degree,16,43,59
 PhD,1,2,3
 Other,195,4044,4239
 Total,9929,141310,151239
NotApp :,17537,*,*
AREA # 140105,Pathein,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,9753,11480,21233
 Grade 1,4385,4850,9235
 Grade 2,6266,7147,13413
 Grade 3,8123,9892,18015
 Grade 4,17259,16431,33690
 Grade 5,19665,24256,43921
 Grade 6,8873,5767,14640
 Grade 7,8696,4621,13317
 Grade 8,10855,4777,15632
 Grade 9,10694,3944,14638
 Grade 10,17996,5554,23550
 Grade 11,7645,1086,8731
 College,5969,1111,7080
 Vocational training,436,54,490
 Undergraduate diploma,760,137,897
 Graduate,19169,2367,21536
 Postgraduate diploma,560,55,615
 Master degree,946,78,1024
 PhD,169,2,171
 Other,417,3070,3487
 Total,158636,106679,265315
NotApp :,21756,*,*
AREA # 140106,Yekyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,538,5963,6501
 Grade 1,257,2977,3234
 Grade 2,329,4576,4905
 Grade 3,495,7601,8096
 Grade 4,924,10030,10954
 Grade 5,1655,25130,26785
 Grade 6,580,5063,5643
 Grade 7,504,4095,4599
 Grade 8,564,4205,4769
 Grade 9,660,4219,4879
 Grade 10,864,3830,4694
 Grade 11,719,3700,4419
 College,380,1235,1615
 Vocational training,12,40,52
 Undergraduate diploma,21,81,102
 Graduate,1148,2358,3506
 Postgraduate diploma,8,48,56
 Master degree,6,19,25
 PhD,-,4,4
 Other,247,1200,1447
 Total,9911,86374,96285
NotApp :,8785,*,*
AREA # 140107,Thapaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,308,10553,10861
 Grade 1,176,6470,6646
 Grade 2,199,9014,9213
 Grade 3,356,12954,13310
 Grade 4,498,15979,16477
 Grade 5,1221,36889,38110
 Grade 6,421,7963,8384
 Grade 7,359,6098,6457
 Grade 8,414,5626,6040
 Grade 9,442,5459,5901
 Grade 10,320,4961,5281
 Grade 11,906,5090,5996
 College,301,1405,1706
 Vocational training,22,422,444
 Undergraduate diploma,30,145,175
 Graduate,756,3079,3835
 Postgraduate diploma,-,63,63
 Master degree,3,38,41
 PhD,2,4,6
 Other,-,196,196
 Total,6734,132408,139142
NotApp :,15258,*,*
AREA # 140151,Ngayokaung(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,166,3448,3614
 Grade 1,83,1242,1325
 Grade 2,87,1706,1793
 Grade 3,159,2690,2849
 Grade 4,230,3381,3611
 Grade 5,525,6805,7330
 Grade 6,236,2768,3004
 Grade 7,188,2003,2191
 Grade 8,182,1733,1915
 Grade 9,212,2318,2530
 Grade 10,187,1275,1462
 Grade 11,331,1729,2060
 College,129,464,593
 Vocational training,3,36,39
 Undergraduate diploma,3,24,27
 Graduate,197,536,733
 Postgraduate diploma,5,37,42
 Master degree,1,5,6
 PhD,-,2,2
 Other,89,2232,2321
 Total,3013,34434,37447
NotApp :,3747,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,749,7269,8018
 Grade 1,326,2731,3057
 Grade 2,472,3946,4418
 Grade 3,798,6450,7248
 Grade 4,1415,8948,10363
 Grade 5,2626,22003,24629
 Grade 6,1179,7914,9093
 Grade 7,918,5720,6638
 Grade 8,950,5330,6280
 Grade 9,1056,6067,7123
 Grade 10,828,3947,4775
 Grade 11,1160,5323,6483
 College,358,1393,1751
 Vocational training,7,117,124
 Undergraduate diploma,31,130,161
 Graduate,521,2399,2920
 Postgraduate diploma,8,69,77
 Master degree,8,39,47
 PhD,3,2,5
 Other,239,976,1215
 Total,13652,90773,104425
NotApp :,10084,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,396,4272,4668
 Grade 1,118,1827,1945
 Grade 2,181,2431,2612
 Grade 3,213,3303,3516
 Grade 4,477,5221,5698
 Grade 5,391,5628,6019
 Grade 6,189,2945,3134
 Grade 7,181,2285,2466
 Grade 8,188,2474,2662
 Grade 9,155,2642,2797
 Grade 10,213,3072,3285
 Grade 11,42,1586,1628
 College,53,1019,1072
 Vocational training,-,60,60
 Undergraduate diploma,1,69,70
 Graduate,102,2656,2758
 Postgraduate diploma,-,27,27
 Master degree,1,48,49
 PhD,-,15,15
 Other,-,884,884
 Total,2901,42464,45365
NotApp :,4173,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1531,4460,5991
 Grade 1,366,1716,2082
 Grade 2,552,2362,2914
 Grade 3,988,2941,3929
 Grade 4,1500,3840,5340
 Grade 5,1589,4225,5814
 Grade 6,788,1429,2217
 Grade 7,662,1092,1754
 Grade 8,786,1076,1862
 Grade 9,715,1006,1721
 Grade 10,1288,1341,2629
 Grade 11,377,244,621
 College,523,237,760
 Vocational training,10,13,23
 Undergraduate diploma,23,17,40
 Graduate,1576,469,2045
 Postgraduate diploma,47,9,56
 Master degree,33,3,36
 PhD,7,1,8
 Other,91,125,216
 Total,13452,26606,40058
NotApp :,4318,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1421,5682,7103
 Grade 1,479,2424,2903
 Grade 2,645,3322,3967
 Grade 3,1094,4946,6040
 Grade 4,1759,7269,9028
 Grade 5,3109,19191,22300
 Grade 6,996,3599,4595
 Grade 7,980,2805,3785
 Grade 8,991,2835,3826
 Grade 9,1037,2865,3902
 Grade 10,1539,2491,4030
 Grade 11,961,1824,2785
 College,448,615,1063
 Vocational training,38,21,59
 Undergraduate diploma,43,84,127
 Graduate,1288,1141,2429
 Postgraduate diploma,14,17,31
 Master degree,11,11,22
 PhD,4,-,4
 Other,395,2993,3388
 Total,17252,64135,81387
NotApp :,7643,*,*
AREA # 140201,Kyaiklatt,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1987,21613,23600
 Grade 1,718,6541,7259
 Grade 2,1049,8076,9125
 Grade 3,1491,12367,13858
 Grade 4,2616,20634,23250
 Grade 5,3679,43779,47458
 Grade 6,1323,8452,9775
 Grade 7,1246,6504,7750
 Grade 8,1480,6294,7774
 Grade 9,1381,5415,6796
 Grade 10,2004,5222,7226
 Grade 11,1004,2184,3188
 College,506,1141,1647
 Vocational training,24,42,66
 Undergraduate diploma,88,102,190
 Graduate,1914,2052,3966
 Postgraduate diploma,24,28,52
 Master degree,11,20,31
 PhD,1,1,2
 Other,61,1699,1760
 Total,22607,152166,174773
NotApp :,18567,*,*
AREA # 140202,Daydaye,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1122,24247,25369
 Grade 1,270,5895,6165
 Grade 2,530,7980,8510
 Grade 3,721,12248,12969
 Grade 4,989,17500,18489
 Grade 5,2544,48788,51332
 Grade 6,926,11289,12215
 Grade 7,787,8188,8975
 Grade 8,805,7660,8465
 Grade 9,966,7024,7990
 Grade 10,825,5124,5949
 Grade 11,1803,6299,8102
 College,525,1633,2158
 Vocational training,15,55,70
 Undergraduate diploma,22,186,208
 Graduate,1460,2747,4207
 Postgraduate diploma,16,38,54
 Master degree,3,28,31
 PhD,2,4,6
 Other,50,3028,3078
 Total,14381,169961,184342
NotApp :,18584,*,*
AREA # 140203,Phyapon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4300,15325,19625
 Grade 1,1509,5268,6777
 Grade 2,2001,7272,9273
 Grade 3,2656,10311,12967
 Grade 4,5164,19627,24791
 Grade 5,6429,29466,35895
 Grade 6,2786,7407,10193
 Grade 7,2637,5663,8300
 Grade 8,2980,5395,8375
 Grade 9,2811,4300,7111
 Grade 10,4928,5480,10408
 Grade 11,1493,1615,3108
 College,1345,1226,2571
 Vocational training,27,46,73
 Undergraduate diploma,141,132,273
 Graduate,3995,2122,6117
 Postgraduate diploma,104,93,197
 Master degree,47,11,58
 PhD,6,4,10
 Other,194,4201,4395
 Total,45553,124964,170517
NotApp :,16826,*,*
AREA # 140204,Bogale,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,5438,57401,62839
 Grade 1,1108,9608,10716
 Grade 2,1521,13004,14525
 Grade 3,2017,18871,20888
 Grade 4,4334,31059,35393
 Grade 5,4262,42485,46747
 Grade 6,2233,16274,18507
 Grade 7,2074,11530,13604
 Grade 8,2594,10499,13093
 Grade 9,2149,9207,11356
 Grade 10,4462,9669,14131
 Grade 11,1372,2893,4265
 College,1437,2097,3534
 Vocational training,34,80,114
 Undergraduate diploma,80,284,364
 Graduate,3334,3276,6610
 Postgraduate diploma,58,65,123
 Master degree,38,26,64
 PhD,6,3,9
 Other,1360,9033,10393
 Total,39911,247364,287275
NotApp :,35390,*,*
AREA # 140251,Ahmar(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,342,22354,22696
 Grade 1,151,5915,6066
 Grade 2,172,8003,8175
 Grade 3,253,9975,10228
 Grade 4,331,15715,16046
 Grade 5,401,15474,15875
 Grade 6,167,6670,6837
 Grade 7,158,4732,4890
 Grade 8,157,4350,4507
 Grade 9,187,3371,3558
 Grade 10,186,2881,3067
 Grade 11,17,1070,1087
 College,60,763,823
 Vocational training,6,23,29
 Undergraduate diploma,16,105,121
 Graduate,107,1042,1149
 Postgraduate diploma,2,8,10
 Master degree,3,7,10
 PhD,-,5,5
 Other,238,6459,6697
 Total,2954,108922,111876
NotApp :,14903,*,*
AREA # 140301,Nyaungdon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1687,20553,22240
 Grade 1,568,6291,6859
 Grade 2,733,8864,9597
 Grade 3,1245,15174,16419
 Grade 4,1696,17373,19069
 Grade 5,4272,53001,57273
 Grade 6,1272,10358,11630
 Grade 7,1067,7682,8749
 Grade 8,1261,7616,8877
 Grade 9,1585,7215,8800
 Grade 10,1556,5915,7471
 Grade 11,2460,6933,9393
 College,730,2021,2751
 Vocational training,22,93,115
 Undergraduate diploma,62,194,256
 Graduate,2247,3126,5373
 Postgraduate diploma,55,91,146
 Master degree,20,39,59
 PhD,3,3,6
 Other,103,981,1084
 Total,22644,173523,196167
NotApp :,19739,*,*
AREA # 140302,Danubyu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,993,9054,10047
 Grade 1,436,6138,6574
 Grade 2,686,8796,9482
 Grade 3,1151,13870,15021
 Grade 4,1407,16453,17860
 Grade 5,3983,40569,44552
 Grade 6,1258,7853,9111
 Grade 7,978,6303,7281
 Grade 8,1145,6156,7301
 Grade 9,1489,6010,7499
 Grade 10,1223,5370,6593
 Grade 11,2028,5096,7124
 College,733,1784,2517
 Vocational training,16,72,88
 Undergraduate diploma,70,174,244
 Graduate,2182,3072,5254
 Postgraduate diploma,24,70,94
 Master degree,21,40,61
 PhD,3,4,7
 Other,349,7103,7452
 Total,20175,143987,164162
NotApp :,15191,*,*
AREA # 140303,Pantanaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1491,23400,24891
 Grade 1,641,10953,11594
 Grade 2,897,15681,16578
 Grade 3,1359,23214,24573
 Grade 4,2025,30090,32115
 Grade 5,2738,54293,57031
 Grade 6,1125,12621,13746
 Grade 7,900,9220,10120
 Grade 8,1060,9255,10315
 Grade 9,1152,8970,10122
 Grade 10,1397,7923,9320
 Grade 11,1409,7120,8529
 College,497,1972,2469
 Vocational training,22,73,95
 Undergraduate diploma,38,239,277
 Graduate,1495,3305,4800
 Postgraduate diploma,27,123,150
 Master degree,16,27,43
 PhD,2,5,7
 Other,51,2860,2911
 Total,18342,221344,239686
NotApp :,24910,*,*
AREA # 140304,Maubin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2990,27414,30404
 Grade 1,1042,10998,12040
 Grade 2,1438,14097,15535
 Grade 3,2243,22647,24890
 Grade 4,3253,26997,30250
 Grade 5,5767,72606,78373
 Grade 6,2505,14528,17033
 Grade 7,1989,11117,13106
 Grade 8,2294,10279,12573
 Grade 9,2881,10294,13175
 Grade 10,3346,7227,10573
 Grade 11,3449,9126,12575
 College,1958,2373,4331
 Vocational training,171,130,301
 Undergraduate diploma,416,256,672
 Graduate,4107,3744,7851
 Postgraduate diploma,151,126,277
 Master degree,130,86,216
 PhD,21,15,36
 Other,33,614,647
 Total,40184,244674,284858
NotApp :,29235,*,*
AREA # 140401,Myaungmya,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4111,29268,33379
 Grade 1,1413,11369,12782
 Grade 2,1885,15861,17746
 Grade 3,2877,22825,25702
 Grade 4,3754,23054,26808
 Grade 5,8707,52965,61672
 Grade 6,3679,12361,16040
 Grade 7,2840,8854,11694
 Grade 8,3393,8398,11791
 Grade 9,4284,8506,12790
 Grade 10,4243,6097,10340
 Grade 11,5522,7295,12817
 College,1699,1637,3336
 Vocational training,125,102,227
 Undergraduate diploma,241,174,415
 Graduate,5114,3018,8132
 Postgraduate diploma,264,145,409
 Master degree,82,26,108
 PhD,12,9,21
 Other,131,4613,4744
 Total,54376,216577,270953
NotApp :,27684,*,*
AREA # 140402,Wakema,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1565,32661,34226
 Grade 1,484,12847,13331
 Grade 2,716,16992,17708
 Grade 3,1171,25201,26372
 Grade 4,1619,28472,30091
 Grade 5,3297,58452,61749
 Grade 6,1253,13032,14285
 Grade 7,972,9772,10744
 Grade 8,1198,9616,10814
 Grade 9,1499,9543,11042
 Grade 10,1368,7496,8864
 Grade 11,2270,9317,11587
 College,743,2144,2887
 Vocational training,51,84,135
 Undergraduate diploma,67,259,326
 Graduate,2223,4171,6394
 Postgraduate diploma,33,66,99
 Master degree,14,27,41
 PhD,2,5,7
 Other,84,1487,1571
 Total,20629,241644,262273
NotApp :,26833,*,*
AREA # 140403,Einme,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,860,23252,24112
 Grade 1,340,9401,9741
 Grade 2,441,12581,13022
 Grade 3,673,18688,19361
 Grade 4,1014,19386,20400
 Grade 5,1661,36176,37837
 Grade 6,736,9124,9860
 Grade 7,641,6741,7382
 Grade 8,814,6348,7162
 Grade 9,854,5891,6745
 Grade 10,1186,4654,5840
 Grade 11,1186,6540,7726
 College,469,1328,1797
 Vocational training,21,66,87
 Undergraduate diploma,26,166,192
 Graduate,1504,2566,4070
 Postgraduate diploma,25,177,202
 Master degree,24,22,46
 PhD,6,3,9
 Other,126,406,532
 Total,12607,163516,176123
NotApp :,17978,*,*
AREA # 140501,Mawlamyinegyun,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2279,29318,31597
 Grade 1,843,10057,10900
 Grade 2,1148,11773,12921
 Grade 3,1717,19463,21180
 Grade 4,2597,25879,28476
 Grade 5,4118,64028,68146
 Grade 6,1865,14946,16811
 Grade 7,1608,11266,12874
 Grade 8,1784,10001,11785
 Grade 9,2040,10382,12422
 Grade 10,2341,7874,10215
 Grade 11,2637,7584,10221
 College,897,1996,2893
 Vocational training,43,48,91
 Undergraduate diploma,121,366,487
 Graduate,2957,3461,6418
 Postgraduate diploma,80,70,150
 Master degree,20,23,43
 PhD,8,4,12
 Other,1358,20767,22125
 Total,30461,249306,279767
NotApp :,31573,*,*
AREA # 140502,Labutta,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3026,32121,35147
 Grade 1,766,9246,10012
 Grade 2,1160,11970,13130
 Grade 3,1734,17814,19548
 Grade 4,2360,21160,23520
 Grade 5,4236,37937,42173
 Grade 6,1992,10523,12515
 Grade 7,1507,6996,8503
 Grade 8,1815,6288,8103
 Grade 9,1884,6565,8449
 Grade 10,2084,4858,6942
 Grade 11,2650,4154,6804
 College,835,1262,2097
 Vocational training,52,76,128
 Undergraduate diploma,65,187,252
 Graduate,2423,2446,4869
 Postgraduate diploma,41,35,76
 Master degree,19,16,35
 PhD,1,1,2
 Other,111,2662,2773
 Total,28761,176317,205078
NotApp :,24851,*,*
AREA # 140551,Pyinsalu(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,300,10555,10855
 Grade 1,73,3661,3734
 Grade 2,78,4994,5072
 Grade 3,162,7774,7936
 Grade 4,161,9219,9380
 Grade 5,312,14756,15068
 Grade 6,165,4978,5143
 Grade 7,82,3101,3183
 Grade 8,122,2858,2980
 Grade 9,110,2750,2860
 Grade 10,81,2041,2122
 Grade 11,61,1637,1698
 College,37,440,477
 Vocational training,-,19,19
 Undergraduate diploma,2,74,76
 Graduate,57,651,708
 Postgraduate diploma,2,3,5
 Master degree,6,6,12
 PhD,1,2,3
 Other,45,1034,1079
 Total,1857,70553,72410
NotApp :,12879,*,*
AREA # 140601,Kyangin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1193,7266,8459
 Grade 1,316,1710,2026
 Grade 2,483,2602,3085
 Grade 3,756,4371,5127
 Grade 4,1001,6250,7251
 Grade 5,3681,24369,28050
 Grade 6,1079,4004,5083
 Grade 7,881,3412,4293
 Grade 8,1157,3431,4588
 Grade 9,1441,3516,4957
 Grade 10,1330,2875,4205
 Grade 11,2344,3035,5379
 College,591,873,1464
 Vocational training,33,70,103
 Undergraduate diploma,51,140,191
 Graduate,1817,1757,3574
 Postgraduate diploma,27,52,79
 Master degree,10,12,22
 PhD,1,-,1
 Other,13,1412,1425
 Total,18205,71157,89362
NotApp :,6721,*,*
AREA # 140602,Zalun,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1441,11400,12841
 Grade 1,497,4893,5390
 Grade 2,694,6879,7573
 Grade 3,1238,12758,13996
 Grade 4,1583,14265,15848
 Grade 5,4455,40189,44644
 Grade 6,1174,8172,9346
 Grade 7,923,6258,7181
 Grade 8,986,6040,7026
 Grade 9,1291,6249,7540
 Grade 10,1311,4655,5966
 Grade 11,1595,5187,6782
 College,571,1520,2091
 Vocational training,36,76,112
 Undergraduate diploma,50,202,252
 Graduate,1681,2547,4228
 Postgraduate diploma,32,66,98
 Master degree,16,33,49
 PhD,1,2,3
 Other,39,2106,2145
 Total,19614,133497,153111
NotApp :,15092,*,*
AREA # 140603,Myanaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,974,22134,23108
 Grade 1,462,5839,6301
 Grade 2,629,8476,9105
 Grade 3,1038,13684,14722
 Grade 4,1614,20712,22326
 Grade 5,3850,47435,51285
 Grade 6,1200,10968,12168
 Grade 7,1075,8733,9808
 Grade 8,1370,8626,9996
 Grade 9,1694,8190,9884
 Grade 10,1845,7339,9184
 Grade 11,1961,6844,8805
 College,749,2140,2889
 Vocational training,41,130,171
 Undergraduate diploma,58,268,326
 Graduate,2207,3919,6126
 Postgraduate diploma,33,139,172
 Master degree,15,39,54
 PhD,1,5,6
 Other,276,4827,5103
 Total,21092,180447,201539
NotApp :,17042,*,*
AREA # 140604,Laymyethna,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,59,11034,11093
 Grade 1,70,3149,3219
 Grade 2,98,4271,4369
 Grade 3,146,6638,6784
 Grade 4,330,9446,9776
 Grade 5,368,23463,23831
 Grade 6,117,4893,5010
 Grade 7,133,4088,4221
 Grade 8,152,4218,4370
 Grade 9,152,4037,4189
 Grade 10,328,3499,3827
 Grade 11,97,3838,3935
 College,114,1278,1392
 Vocational training,11,33,44
 Undergraduate diploma,2,148,150
 Graduate,355,1976,2331
 Postgraduate diploma,3,78,81
 Master degree,3,23,26
 PhD,2,2,4
 Other,128,5231,5359
 Total,2668,91343,94011
NotApp :,9013,*,*
AREA # 140605,Hinthada,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4316,19135,23451
 Grade 1,2162,7629,9791
 Grade 2,2912,11040,13952
 Grade 3,4423,18136,22559
 Grade 4,7926,24324,32250
 Grade 5,12836,73471,86307
 Grade 6,4075,13617,17692
 Grade 7,3658,10820,14478
 Grade 8,4565,10984,15549
 Grade 9,5615,11214,16829
 Grade 10,7004,8559,15563
 Grade 11,5325,10498,15823
 College,2840,3151,5991
 Vocational training,424,330,754
 Undergraduate diploma,469,438,907
 Graduate,8567,5461,14028
 Postgraduate diploma,305,226,531
 Master degree,302,184,486
 PhD,43,55,98
 Other,286,3967,4253
 Total,78053,233239,311292
NotApp :,27143,*,*
AREA # 140606,Ingapu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,486,10528,11014
 Grade 1,261,5977,6238
 Grade 2,417,8379,8796
 Grade 3,616,13497,14113
 Grade 4,948,18931,19879
 Grade 5,2942,51557,54499
 Grade 6,675,10265,10940
 Grade 7,617,8238,8855
 Grade 8,724,8161,8885
 Grade 9,778,7997,8775
 Grade 10,1044,6685,7729
 Grade 11,1129,7374,8503
 College,352,2220,2572
 Vocational training,18,114,132
 Undergraduate diploma,62,258,320
 Graduate,1269,4290,5559
 Postgraduate diploma,31,98,129
 Master degree,11,80,91
 PhD,2,5,7
 Other,38,19182,19220
 Total,12420,183836,196256
NotApp :,18128,*,*
AREA # 150101,Tatkon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1892,19610,21502
 Grade 1,928,5668,6596
 Grade 2,1416,8661,10077
 Grade 3,2222,13574,15796
 Grade 4,3794,21520,25314
 Grade 5,5534,32891,38425
 Grade 6,2359,9330,11689
 Grade 7,2296,8291,10587
 Grade 8,2599,7788,10387
 Grade 9,2835,7943,10778
 Grade 10,3206,6629,9835
 Grade 11,3869,4889,8758
 College,1383,1897,3280
 Vocational training,102,81,183
 Undergraduate diploma,196,371,567
 Graduate,3449,3498,6947
 Postgraduate diploma,72,63,135
 Master degree,34,150,184
 PhD,4,8,12
 Other,300,7162,7462
 Total,38490,160024,198514
NotApp :,18579,*,*
AREA # 150102,Zeyarthiri,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1403,4449,5852
 Grade 1,690,2433,3123
 Grade 2,1013,3701,4714
 Grade 3,1549,5546,7095
 Grade 4,2108,7299,9407
 Grade 5,3695,16406,20101
 Grade 6,1923,4557,6480
 Grade 7,1693,3751,5444
 Grade 8,1821,3554,5375
 Grade 9,2301,3832,6133
 Grade 10,2355,2636,4991
 Grade 11,3483,4468,7951
 College,1602,1493,3095
 Vocational training,113,95,208
 Undergraduate diploma,279,537,816
 Graduate,4789,3387,8176
 Postgraduate diploma,83,61,144
 Master degree,712,307,1019
 PhD,60,98,158
 Other,28,255,283
 Total,31700,68865,100565
NotApp :,10728,*,*
AREA # 150103,Ottarathiri,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1534,5585,7119
 Grade 1,737,1919,2656
 Grade 2,922,2769,3691
 Grade 3,1362,4694,6056
 Grade 4,1881,6063,7944
 Grade 5,4456,11450,15906
 Grade 6,1504,3174,4678
 Grade 7,1063,2591,3654
 Grade 8,1178,2466,3644
 Grade 9,1455,2644,4099
 Grade 10,1275,2194,3469
 Grade 11,1584,2141,3725
 College,572,850,1422
 Vocational training,24,47,71
 Undergraduate diploma,76,119,195
 Graduate,1837,1571,3408
 Postgraduate diploma,41,39,80
 Master degree,76,95,171
 PhD,13,2,15
 Other,54,1343,1397
 Total,21644,51756,73400
NotApp :,8220,*,*
AREA # 150104,Pobbathiri,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2402,4948,7350
 Grade 1,1003,2061,3064
 Grade 2,1348,2968,4316
 Grade 3,1903,5241,7144
 Grade 4,2679,7307,9986
 Grade 5,6741,15262,22003
 Grade 6,2624,4399,7023
 Grade 7,2291,3667,5958
 Grade 8,2498,3386,5884
 Grade 9,3180,3682,6862
 Grade 10,2625,2622,5247
 Grade 11,4344,4179,8523
 College,1557,1307,2864
 Vocational training,127,55,182
 Undergraduate diploma,164,109,273
 Graduate,4251,2924,7175
 Postgraduate diploma,81,43,124
 Master degree,127,82,209
 PhD,9,9,18
 Other,124,609,733
 Total,40078,64860,104938
NotApp :,11553,*,*
AREA # 150201,Pyinmana,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3504,8753,12257
 Grade 1,1501,4439,5940
 Grade 2,2102,5871,7973
 Grade 3,2844,7981,10825
 Grade 4,5162,13996,19158
 Grade 5,7213,19257,26470
 Grade 6,3890,7253,11143
 Grade 7,3805,6309,10114
 Grade 8,4816,6758,11574
 Grade 9,5907,6077,11984
 Grade 10,7294,7138,14432
 Grade 11,5954,3722,9676
 College,2700,1698,4398
 Vocational training,170,148,318
