Highest_grade,Sex_Male,Sex_Female,Sex_Total
 Grade 2,146,69,215
 Grade 3,146,66,212
 Grade 4,97,15,112
 Grade 5,92,15,107
 Grade 6,63,16,79
 Grade 7,41,11,52
 Grade 8,24,7,31
 Grade 9,31,12,43
 Grade 10,30,8,38
 Grade 11,8,4,12
 College,3,4,7
 Vocational training,3,-,3
 Undergraduate diploma,2,1,3
 Graduate,21,5,26
 Postgraduate diploma,1,3,4
 Other,36,17,53
 Total,2185,1472,3657
NotApp :,619,*,*
AREA # 131301,Tachileik,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,22064,24859,46923
 Grade 1,2171,1902,4073
 Grade 2,2455,2263,4718
 Grade 3,3219,3067,6286
 Grade 4,3957,3810,7767
 Grade 5,6618,5994,12612
 Grade 6,3641,3386,7027
 Grade 7,3101,2877,5978
 Grade 8,3504,2972,6476
 Grade 9,4178,3314,7492
 Grade 10,3890,3408,7298
 Grade 11,4135,3821,7956
 College,1182,1044,2226
 Vocational training,34,33,67
 Undergraduate diploma,142,134,276
 Graduate,2074,2488,4562
 Postgraduate diploma,34,30,64
 Master degree,32,31,63
 PhD,4,3,7
 Other,1669,1020,2689
 Total,68104,66456,134560
NotApp :,13461,*,*
AREA # 131351,Talay(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3483,3774,7257
 Grade 1,292,281,573
 Grade 2,333,277,610
 Grade 3,457,403,860
 Grade 4,474,360,834
 Grade 5,662,499,1161
 Grade 6,477,341,818
 Grade 7,348,312,660
 Grade 8,411,284,695
 Grade 9,398,312,710
 Grade 10,239,201,440
 Grade 11,387,357,744
 College,42,32,74
 Vocational training,9,2,11
 Undergraduate diploma,19,8,27
 Graduate,153,131,284
 Postgraduate diploma,2,2,4
 Master degree,8,2,10
 PhD,1,-,1
 Other,467,316,783
 Total,8662,7894,16556
NotApp :,1692,*,*
AREA # 131352,Kenglat(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3221,3096,6317
 Grade 1,230,210,440
 Grade 2,235,173,408
 Grade 3,234,231,465
 Grade 4,194,211,405
 Grade 5,376,247,623
 Grade 6,162,132,294
 Grade 7,119,92,211
 Grade 8,108,96,204
 Grade 9,112,68,180
 Grade 10,81,52,133
 Grade 11,98,58,156
 College,19,5,24
 Vocational training,3,1,4
 Undergraduate diploma,3,5,8
 Graduate,45,44,89
 Postgraduate diploma,-,1,1
 Master degree,1,-,1
 Other,3,2,5
 Total,5244,4724,9968
NotApp :,1076,*,*
AREA # 131401,Minephyat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6923,6986,13909
 Grade 1,594,543,1137
 Grade 2,516,476,992
 Grade 3,638,606,1244
 Grade 4,604,538,1142
 Grade 5,907,654,1561
 Grade 6,484,432,916
 Grade 7,472,358,830
 Grade 8,505,323,828
 Grade 9,505,322,827
 Grade 10,484,388,872
 Grade 11,457,328,785
 College,111,85,196
 Vocational training,2,7,9
 Undergraduate diploma,14,6,20
 Graduate,322,240,562
 Postgraduate diploma,12,15,27
 Master degree,26,3,29
 Other,712,118,830
 Total,14288,12428,26716
NotApp :,3840,*,*
AREA # 131402,Mineyaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8675,8235,16910
 Grade 1,440,344,784
 Grade 2,418,311,729
 Grade 3,508,396,904
 Grade 4,492,389,881
 Grade 5,547,516,1063
 Grade 6,328,266,594
 Grade 7,299,255,554
 Grade 8,312,231,543
 Grade 9,313,255,568
 Grade 10,290,284,574
 Grade 11,277,244,521
 College,53,80,133
 Vocational training,6,3,9
 Undergraduate diploma,13,5,18
 Graduate,205,170,375
 Postgraduate diploma,6,3,9
 Master degree,7,2,9
 PhD,-,1,1
 Other,137,11,148
 Total,13326,12001,25327
NotApp :,2232,*,*
AREA # 131451,Mineyu(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,16319,17141,33460
 Grade 1,911,685,1596
 Grade 2,997,730,1727
 Grade 3,1118,679,1797
 Grade 4,1075,621,1696
 Grade 5,1032,591,1623
 Grade 6,869,455,1324
 Grade 7,600,347,947
 Grade 8,420,221,641
 Grade 9,737,376,1113
 Grade 10,300,202,502
 Grade 11,229,155,384
 College,197,126,323
 Vocational training,25,23,48
 Undergraduate diploma,11,4,15
 Graduate,80,64,144
 Postgraduate diploma,6,5,11
 Master degree,2,-,2
 Other,40,2,42
 Total,24968,22427,47395
NotApp :,4936,*,*
AREA # 140101,Kangyidaunt,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5617,8174,13791
 Grade 1,3763,3821,7584
 Grade 2,5318,5867,11185
 Grade 3,7852,9272,17124
 Grade 4,9092,10482,19574
 Grade 5,20891,21984,42875
 Grade 6,4904,4381,9285
 Grade 7,3670,2987,6657
 Grade 8,3568,2736,6304
 Grade 9,3742,2834,6576
 Grade 10,2514,2158,4672
 Grade 11,3481,3414,6895
 College,926,896,1822
 Vocational training,277,131,408
 Undergraduate diploma,121,72,193
 Graduate,1453,2334,3787
 Postgraduate diploma,40,151,191
 Master degree,25,114,139
 PhD,11,12,23
 Other,1139,1088,2227
 Total,78404,82908,161312
NotApp :,16678,*,*
AREA # 140102,Kyaungon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5340,7696,13036
 Grade 1,3435,3510,6945
 Grade 2,4442,5299,9741
 Grade 3,6350,8178,14528
 Grade 4,7850,9509,17359
 Grade 5,17251,19897,37148
 Grade 6,4294,4001,8295
 Grade 7,3607,3078,6685
 Grade 8,3978,2921,6899
 Grade 9,3991,2869,6860
 Grade 10,3082,2475,5557
 Grade 11,4136,3544,7680
 College,991,922,1913
 Vocational training,54,39,93
 Undergraduate diploma,125,84,209
 Graduate,1533,2313,3846
 Postgraduate diploma,57,129,186
 Master degree,13,41,54
 PhD,2,2,4
 Other,816,743,1559
 Total,71347,77250,148597
NotApp :,14438,*,*
AREA # 140103,Kyonpyaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8699,12229,20928
 Grade 1,4387,4497,8884
 Grade 2,6128,7011,13139
 Grade 3,9388,11641,21029
 Grade 4,10964,13225,24189
 Grade 5,24632,27399,52031
 Grade 6,6917,6500,13417
 Grade 7,5681,4811,10492
 Grade 8,6006,4562,10568
 Grade 9,5801,4160,9961
 Grade 10,5374,4526,9900
 Grade 11,4069,4019,8088
 College,1329,1499,2828
 Vocational training,70,48,118
 Undergraduate diploma,177,176,353
 Graduate,2132,3716,5848
 Postgraduate diploma,34,67,101
 Master degree,11,52,63
 PhD,4,3,7
 Other,1189,1161,2350
 Total,102992,111302,214294
NotApp :,21433,*,*
AREA # 140104,Ngaputaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8096,8894,16990
 Grade 1,4354,4108,8462
 Grade 2,5585,6037,11622
 Grade 3,8075,8663,16738
 Grade 4,8692,9099,17791
 Grade 5,16110,15676,31786
 Grade 6,4951,4691,9642
 Grade 7,3530,3033,6563
 Grade 8,3282,2665,5947
 Grade 9,3251,2994,6245
 Grade 10,2422,2538,4960
 Grade 11,2356,2573,4929
 College,754,771,1525
 Vocational training,192,153,345
 Undergraduate diploma,115,94,209
 Graduate,1125,1966,3091
 Postgraduate diploma,21,72,93
 Master degree,10,49,59
 PhD,1,2,3
 Other,2455,1784,4239
 Total,75377,75862,151239
NotApp :,17537,*,*
AREA # 140105,Pathein,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8859,12374,21233
 Grade 1,4513,4722,9235
 Grade 2,6063,7350,13413
 Grade 3,7936,10079,18015
 Grade 4,14828,18862,33690
 Grade 5,20648,23273,43921
 Grade 6,7478,7162,14640
 Grade 7,7302,6015,13317
 Grade 8,8705,6927,15632
 Grade 9,8405,6233,14638
 Grade 10,12524,11026,23550
 Grade 11,4726,4005,8731
 College,3481,3599,7080
 Vocational training,272,218,490
 Undergraduate diploma,414,483,897
 Graduate,8228,13308,21536
 Postgraduate diploma,207,408,615
 Master degree,222,802,1024
 PhD,51,120,171
 Other,1776,1711,3487
 Total,126638,138677,265315
NotApp :,21756,*,*
AREA # 140106,Yekyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2392,4109,6501
 Grade 1,1501,1733,3234
 Grade 2,2023,2882,4905
 Grade 3,3267,4829,8096
 Grade 4,4619,6335,10954
 Grade 5,12142,14643,26785
 Grade 6,2965,2678,5643
 Grade 7,2491,2108,4599
 Grade 8,2877,1892,4769
 Grade 9,2983,1896,4879
 Grade 10,2696,1998,4694
 Grade 11,2466,1953,4419
 College,830,785,1615
 Vocational training,25,27,52
 Undergraduate diploma,63,39,102
 Graduate,1351,2155,3506
 Postgraduate diploma,17,39,56
 Master degree,7,18,25
 PhD,2,2,4
 Other,668,779,1447
 Total,45385,50900,96285
NotApp :,8785,*,*
AREA # 140107,Thapaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4296,6565,10861
 Grade 1,3283,3363,6646
 Grade 2,4158,5055,9213
 Grade 3,6050,7260,13310
 Grade 4,7580,8897,16477
 Grade 5,18775,19335,38110
 Grade 6,4448,3936,8384
 Grade 7,3607,2850,6457
 Grade 8,3549,2491,6040
 Grade 9,3440,2461,5901
 Grade 10,2874,2407,5281
 Grade 11,3142,2854,5996
 College,856,850,1706
 Vocational training,327,117,444
 Undergraduate diploma,100,75,175
 Graduate,1378,2457,3835
 Postgraduate diploma,11,52,63
 Master degree,13,28,41
 PhD,4,2,6
 Other,104,92,196
 Total,67995,71147,139142
NotApp :,15258,*,*
AREA # 140151,Ngayokaung(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1504,2110,3614
 Grade 1,669,656,1325
 Grade 2,835,958,1793
 Grade 3,1310,1539,2849
 Grade 4,1748,1863,3611
 Grade 5,3703,3627,7330
 Grade 6,1542,1462,3004
 Grade 7,1238,953,2191
 Grade 8,1124,791,1915
 Grade 9,1406,1124,2530
 Grade 10,807,655,1462
 Grade 11,1100,960,2060
 College,326,267,593
 Vocational training,22,17,39
 Undergraduate diploma,16,11,27
 Graduate,298,435,733
 Postgraduate diploma,8,34,42
 Master degree,1,5,6
 PhD,2,-,2
 Other,1313,1008,2321
 Total,18972,18475,37447
NotApp :,3747,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3440,4578,8018
 Grade 1,1507,1550,3057
 Grade 2,2000,2418,4418
 Grade 3,3148,4100,7248
 Grade 4,4840,5523,10363
 Grade 5,12565,12064,24629
 Grade 6,4914,4179,9093
 Grade 7,3782,2856,6638
 Grade 8,3700,2580,6280
 Grade 9,4137,2986,7123
 Grade 10,2583,2192,4775
 Grade 11,3350,3133,6483
 College,885,866,1751
 Vocational training,71,53,124
 Undergraduate diploma,87,74,161
 Graduate,1075,1845,2920
 Postgraduate diploma,27,50,77
 Master degree,8,39,47
 PhD,3,2,5
 Other,698,517,1215
 Total,52820,51605,104425
NotApp :,10084,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2174,2494,4668
 Grade 1,967,978,1945
 Grade 2,1156,1456,2612
 Grade 3,1549,1967,3516
 Grade 4,2737,2961,5698
 Grade 5,2969,3050,6019
 Grade 6,1659,1475,3134
 Grade 7,1375,1091,2466
 Grade 8,1477,1185,2662
 Grade 9,1539,1258,2797
 Grade 10,1725,1560,3285
 Grade 11,850,778,1628
 College,517,555,1072
 Vocational training,38,22,60
 Undergraduate diploma,37,33,70
 Graduate,1139,1619,2758
 Postgraduate diploma,11,16,27
 Master degree,16,33,49
 PhD,11,4,15
 Other,421,463,884
 Total,22367,22998,45365
NotApp :,4173,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2848,3143,5991
 Grade 1,1071,1011,2082
 Grade 2,1413,1501,2914
 Grade 3,1911,2018,3929
 Grade 4,2604,2736,5340
 Grade 5,2933,2881,5814
 Grade 6,1248,969,2217
 Grade 7,1039,715,1754
 Grade 8,1034,828,1862
 Grade 9,1015,706,1721
 Grade 10,1384,1245,2629
 Grade 11,364,257,621
 College,415,345,760
 Vocational training,15,8,23
 Undergraduate diploma,29,11,40
 Graduate,962,1083,2045
 Postgraduate diploma,25,31,56
 Master degree,10,26,36
 PhD,6,2,8
 Other,120,96,216
 Total,20446,19612,40058
NotApp :,4318,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2804,4299,7103
 Grade 1,1347,1556,2903
 Grade 2,1736,2231,3967
 Grade 3,2443,3597,6040
 Grade 4,3922,5106,9028
 Grade 5,10410,11890,22300
 Grade 6,2369,2226,4595
 Grade 7,2073,1712,3785
 Grade 8,2260,1566,3826
 Grade 9,2310,1592,3902
 Grade 10,2300,1730,4030
 Grade 11,1505,1280,2785
 College,519,544,1063
 Vocational training,36,23,59
 Undergraduate diploma,80,47,127
 Graduate,909,1520,2429
 Postgraduate diploma,13,18,31
 Master degree,5,17,22
 PhD,2,2,4
 Other,1659,1729,3388
 Total,38702,42685,81387
NotApp :,7643,*,*
AREA # 140201,Kyaiklatt,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,11414,12186,23600
 Grade 1,3700,3559,7259
 Grade 2,4077,5048,9125
 Grade 3,5968,7890,13858
 Grade 4,10671,12579,23250
 Grade 5,22753,24705,47458
 Grade 6,5155,4620,9775
 Grade 7,4378,3372,7750
 Grade 8,4511,3263,7774
 Grade 9,3938,2858,6796
 Grade 10,3889,3337,7226
 Grade 11,1724,1464,3188
 College,818,829,1647
 Vocational training,33,33,66
 Undergraduate diploma,105,85,190
 Graduate,1390,2576,3966
 Postgraduate diploma,17,35,52
 Master degree,5,26,31
 PhD,-,2,2
 Other,1030,730,1760
 Total,85576,89197,174773
NotApp :,18567,*,*
AREA # 140202,Daydaye,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,12641,12728,25369
 Grade 1,3062,3103,6165
 Grade 2,3887,4623,8510
 Grade 3,5575,7394,12969
 Grade 4,8292,10197,18489
 Grade 5,23982,27350,51332
 Grade 6,6345,5870,12215
 Grade 7,4970,4005,8975
 Grade 8,4827,3638,8465
 Grade 9,4560,3430,7990
 Grade 10,3294,2655,5949
 Grade 11,4213,3889,8102
 College,1072,1086,2158
 Vocational training,34,36,70
 Undergraduate diploma,127,81,208
 Graduate,1513,2694,4207
 Postgraduate diploma,15,39,54
 Master degree,6,25,31
 PhD,4,2,6
 Other,1840,1238,3078
 Total,90259,94083,184342
NotApp :,18584,*,*
AREA # 140203,Phyapon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9018,10607,19625
 Grade 1,3149,3628,6777
 Grade 2,4080,5193,9273
 Grade 3,5699,7268,12967
 Grade 4,11247,13544,24791
 Grade 5,17332,18563,35895
 Grade 6,5288,4905,10193
 Grade 7,4753,3547,8300
 Grade 8,4861,3514,8375
 Grade 9,4171,2940,7111
 Grade 10,5656,4752,10408
 Grade 11,1728,1380,3108
 College,1290,1281,2571
 Vocational training,45,28,73
 Undergraduate diploma,173,100,273
 Graduate,2332,3785,6117
 Postgraduate diploma,54,143,197
 Master degree,15,43,58
 PhD,4,6,10
 Other,2464,1931,4395
 Total,83359,87158,170517
NotApp :,16826,*,*
AREA # 140204,Bogale,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,29738,33101,62839
 Grade 1,5229,5487,10716
 Grade 2,6504,8021,14525
 Grade 3,9110,11778,20888
 Grade 4,16306,19087,35393
 Grade 5,22833,23914,46747
 Grade 6,9880,8627,18507
 Grade 7,7808,5796,13604
 Grade 8,7715,5378,13093
 Grade 9,6676,4680,11356
 Grade 10,7569,6562,14131
 Grade 11,2388,1877,4265
 College,1780,1754,3534
 Vocational training,71,43,114
 Undergraduate diploma,231,133,364
 Graduate,2429,4181,6610
 Postgraduate diploma,38,85,123
 Master degree,19,45,64
 PhD,3,6,9
 Other,5182,5211,10393
 Total,141509,145766,287275
NotApp :,35390,*,*
AREA # 140251,Ahmar(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10932,11764,22696
 Grade 1,2922,3144,6066
 Grade 2,3609,4566,8175
 Grade 3,4453,5775,10228
 Grade 4,7472,8574,16046
 Grade 5,8105,7770,15875
 Grade 6,3694,3143,6837
 Grade 7,2837,2053,4890
 Grade 8,2640,1867,4507
 Grade 9,2056,1502,3558
 Grade 10,1663,1404,3067
 Grade 11,620,467,1087
 College,450,373,823
 Vocational training,20,9,29
 Undergraduate diploma,75,46,121
 Graduate,465,684,1149
 Postgraduate diploma,4,6,10
 Master degree,4,6,10
 PhD,4,1,5
 Other,4176,2521,6697
 Total,56201,55675,111876
NotApp :,14903,*,*
AREA # 140301,Nyaungdon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9762,12478,22240
 Grade 1,3447,3412,6859
 Grade 2,4304,5293,9597
 Grade 3,7224,9195,16419
 Grade 4,8697,10372,19069
 Grade 5,27410,29863,57273
 Grade 6,6070,5560,11630
 Grade 7,4794,3955,8749
 Grade 8,5219,3658,8877
 Grade 9,5219,3581,8800
 Grade 10,4152,3319,7471
 Grade 11,5142,4251,9393
 College,1469,1282,2751
 Vocational training,78,37,115
 Undergraduate diploma,145,111,256
 Graduate,2056,3317,5373
 Postgraduate diploma,46,100,146
 Master degree,16,43,59
 PhD,3,3,6
 Other,591,493,1084
 Total,95844,100323,196167
NotApp :,19739,*,*
AREA # 140302,Danubyu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4037,6010,10047
 Grade 1,3204,3370,6574
 Grade 2,4066,5416,9482
 Grade 3,6387,8634,15021
 Grade 4,7851,10009,17860
 Grade 5,20465,24087,44552
 Grade 6,4692,4419,9111
 Grade 7,3929,3352,7281
 Grade 8,4284,3017,7301
 Grade 9,4481,3018,7499
 Grade 10,3648,2945,6593
 Grade 11,3848,3276,7124
 College,1239,1278,2517
 Vocational training,48,40,88
 Undergraduate diploma,171,73,244
 Graduate,1880,3374,5254
 Postgraduate diploma,21,73,94
 Master degree,16,45,61
 PhD,1,6,7
 Other,3765,3687,7452
 Total,78033,86129,164162
NotApp :,15191,*,*
AREA # 140303,Pantanaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10475,14416,24891
 Grade 1,5653,5941,11594
 Grade 2,7488,9090,16578
 Grade 3,10706,13867,24573
 Grade 4,14714,17401,32115
 Grade 5,27119,29912,57031
 Grade 6,7184,6562,13746
 Grade 7,5654,4466,10120
 Grade 8,6094,4221,10315
 Grade 9,5922,4200,10122
 Grade 10,5105,4215,9320
 Grade 11,4558,3971,8529
 College,1282,1187,2469
 Vocational training,55,40,95
 Undergraduate diploma,149,128,277
 Graduate,1840,2960,4800
 Postgraduate diploma,50,100,150
 Master degree,10,33,43
 PhD,4,3,7
 Other,1537,1374,2911
 Total,115599,124087,239686
NotApp :,24910,*,*
AREA # 140304,Maubin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13860,16544,30404
 Grade 1,6010,6030,12040
 Grade 2,7135,8400,15535
 Grade 3,10933,13957,24890
 Grade 4,13602,16648,30250
 Grade 5,37104,41269,78373
 Grade 6,8883,8150,17033
 Grade 7,7164,5942,13106
 Grade 8,7282,5291,12573
 Grade 9,7673,5502,13175
 Grade 10,5822,4751,10573
 Grade 11,6518,6057,12575
 College,2204,2127,4331
 Vocational training,198,103,301
 Undergraduate diploma,389,283,672
 Graduate,2901,4950,7851
 Postgraduate diploma,84,193,277
 Master degree,36,180,216
 PhD,11,25,36
 Other,376,271,647
 Total,138185,146673,284858
NotApp :,29235,*,*
AREA # 140401,Myaungmya,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14951,18428,33379
 Grade 1,6528,6254,12782
 Grade 2,8583,9163,17746
 Grade 3,12191,13511,25702
 Grade 4,12748,14060,26808
 Grade 5,29955,31717,61672
 Grade 6,8108,7932,16040
 Grade 7,6219,5475,11694
 Grade 8,6406,5385,11791
 Grade 9,7098,5692,12790
 Grade 10,5546,4794,10340
 Grade 11,6343,6474,12817
 College,1406,1930,3336
 Vocational training,138,89,227
 Undergraduate diploma,248,167,415
 Graduate,2909,5223,8132
 Postgraduate diploma,96,313,409
 Master degree,31,77,108
 PhD,13,8,21
 Other,2503,2241,4744
 Total,132020,138933,270953
NotApp :,27684,*,*
AREA # 140402,Wakema,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14640,19586,34226
 Grade 1,6672,6659,13331
 Grade 2,8319,9389,17708
 Grade 3,11973,14399,26372
 Grade 4,14067,16024,30091
 Grade 5,29808,31941,61749
 Grade 6,7437,6848,14285
 Grade 7,5879,4865,10744
 Grade 8,6276,4538,10814
 Grade 9,6432,4610,11042
 Grade 10,4856,4008,8864
 Grade 11,6008,5579,11587
 College,1483,1404,2887
 Vocational training,89,46,135
 Undergraduate diploma,190,136,326
 Graduate,2216,4178,6394
 Postgraduate diploma,38,61,99
 Master degree,6,35,41
 PhD,5,2,7
 Other,835,736,1571
 Total,127229,135044,262273
NotApp :,26833,*,*
AREA # 140403,Einme,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10556,13556,24112
 Grade 1,4894,4847,9741
 Grade 2,6217,6805,13022
 Grade 3,9036,10325,19361
 Grade 4,9602,10798,20400
 Grade 5,18312,19525,37837
 Grade 6,5146,4714,9860
 Grade 7,4024,3358,7382
 Grade 8,3958,3204,7162
 Grade 9,3826,2919,6745
 Grade 10,3160,2680,5840
 Grade 11,3920,3806,7726
 College,850,947,1797
 Vocational training,58,29,87
 Undergraduate diploma,108,84,192
 Graduate,1476,2594,4070
 Postgraduate diploma,38,164,202
 Master degree,14,32,46
 PhD,4,5,9
 Other,288,244,532
 Total,85487,90636,176123
NotApp :,17978,*,*
AREA # 140501,Mawlamyinegyun,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13040,18557,31597
 Grade 1,5341,5559,10900
 Grade 2,5796,7125,12921
 Grade 3,9044,12136,21180
 Grade 4,12779,15697,28476
 Grade 5,33157,34989,68146
 Grade 6,9068,7743,16811
 Grade 7,7370,5504,12874
 Grade 8,7085,4700,11785
 Grade 9,7340,5082,12422
 Grade 10,5757,4458,10215
 Grade 11,5485,4736,10221
 College,1513,1380,2893
 Vocational training,57,34,91
 Undergraduate diploma,292,195,487
 Graduate,2382,4036,6418
 Postgraduate diploma,62,88,150
 Master degree,12,31,43
 PhD,7,5,12
 Other,11640,10485,22125
 Total,137227,142540,279767
NotApp :,31573,*,*
AREA # 140502,Labutta,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,15880,19267,35147
 Grade 1,5025,4987,10012
 Grade 2,6101,7029,13130
 Grade 3,9032,10516,19548
 Grade 4,11570,11950,23520
 Grade 5,21463,20710,42173
 Grade 6,6709,5806,12515
 Grade 7,4796,3707,8503
 Grade 8,4735,3368,8103
 Grade 9,4882,3567,8449
 Grade 10,3763,3179,6942
 Grade 11,3515,3289,6804
 College,1126,971,2097
 Vocational training,78,50,128
 Undergraduate diploma,148,104,252
 Graduate,1793,3076,4869
 Postgraduate diploma,31,45,76
 Master degree,10,25,35
 PhD,2,-,2
 Other,1568,1205,2773
 Total,102227,102851,205078
NotApp :,24851,*,*
AREA # 140551,Pyinsalu(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5150,5705,10855
 Grade 1,1845,1889,3734
 Grade 2,2488,2584,5072
 Grade 3,3823,4113,7936
 Grade 4,4738,4642,9380
 Grade 5,8142,6926,15068
 Grade 6,2949,2194,5143
 Grade 7,1862,1321,3183
 Grade 8,1762,1218,2980
 Grade 9,1627,1233,2860
 Grade 10,1143,979,2122
 Grade 11,889,809,1698
 College,241,236,477
 Vocational training,11,8,19
 Undergraduate diploma,46,30,76
 Graduate,269,439,708
 Postgraduate diploma,3,2,5
 Master degree,4,8,12
 PhD,1,2,3
 Other,689,390,1079
 Total,37682,34728,72410
NotApp :,12879,*,*
AREA # 140601,Kyangin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3665,4794,8459
 Grade 1,1007,1019,2026
 Grade 2,1261,1824,3085
 Grade 3,1964,3163,5127
 Grade 4,3058,4193,7251
 Grade 5,12759,15291,28050
 Grade 6,2575,2508,5083
 Grade 7,2266,2027,4293
 Grade 8,2656,1932,4588
 Grade 9,2792,2165,4957
 Grade 10,2384,1821,4205
 Grade 11,2816,2563,5379
 College,711,753,1464
 Vocational training,64,39,103
 Undergraduate diploma,125,66,191
 Graduate,1344,2230,3574
 Postgraduate diploma,20,59,79
 Master degree,9,13,22
 PhD,-,1,1
 Other,712,713,1425
 Total,42188,47174,89362
NotApp :,6721,*,*
AREA # 140602,Zalun,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5186,7655,12841
 Grade 1,2624,2766,5390
 Grade 2,3329,4244,7573
 Grade 3,5800,8196,13996
 Grade 4,6777,9071,15848
 Grade 5,20205,24439,44644
 Grade 6,4827,4519,9346
 Grade 7,3847,3334,7181
 Grade 8,4061,2965,7026
 Grade 9,4434,3106,7540
 Grade 10,3391,2575,5966
 Grade 11,3702,3080,6782
 College,989,1102,2091
 Vocational training,63,49,112
 Undergraduate diploma,128,124,252
 Graduate,1480,2748,4228
 Postgraduate diploma,36,62,98
 Master degree,13,36,49
 PhD,-,3,3
 Other,1088,1057,2145
 Total,71980,81131,153111
NotApp :,15092,*,*
AREA # 140603,Myanaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9651,13457,23108
 Grade 1,3057,3244,6301
 Grade 2,3981,5124,9105
 Grade 3,6120,8602,14722
 Grade 4,9445,12881,22326
 Grade 5,23077,28208,51285
 Grade 6,6177,5991,12168
 Grade 7,5221,4587,9808
 Grade 8,5639,4357,9996
 Grade 9,5537,4347,9884
 Grade 10,5054,4130,9184
 Grade 11,4505,4300,8805
 College,1339,1550,2889
 Vocational training,99,72,171
 Undergraduate diploma,191,135,326
 Graduate,2180,3946,6126
 Postgraduate diploma,45,127,172
 Master degree,17,37,54
 PhD,2,4,6
 Other,2432,2671,5103
