Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Female,1711,11835,43,22,-,1,-,259,-,67,16,-,12,419,-,118,1,9,-,-,-,-,8,3,7,-,-,-,-,-,2,36,8,-,2,9,-,-,-,302,17,2,18,34,4022,36,25,2,7,-,27,1230,10,1,-,10,2,-,59,-,16,4,13,-,-,-,1,8,-,28,-,1,2,3,94,495,1031,244,2,9,13,1,11,19,102,-,303,258,17,5,23072,Bhamo,MMR001010
 Total,4111,27327,256,186,-,1,-,851,-,193,35,-,17,446,-,236,1,20,1,-,2,-,18,37,106,-,2,-,-,-,80,85,205,-,53,69,-,-,-,2383,25,70,495,73,6341,1845,224,20,200,-,72,1822,19,4,-,25,2,-,108,-,26,7,27,1,-,-,5,53,-,34,-,2,14,11,357,2107,1166,351,4,24,42,1,40,28,243,17,1060,813,71,17,54587,Bhamo,MMR001010
 Male,1522,13902,391,454,-,3,-,628,-,89,9,1,1,6,-,46,-,4,-,-,1,-,3,16,46,-,-,-,-,-,204,16,83,-,17,8,-,-,-,880,7,25,139,13,1070,687,162,2,34,-,5,287,9,-,-,7,1,-,3,-,4,-,5,-,1,-,-,19,-,-,-,-,1,2,45,372,105,43,-,3,16,-,1,3,25,2,283,505,22,2,22240,Shwegu,MMR001011
 Female,1547,8654,57,57,-,-,-,225,-,43,6,-,4,164,-,30,-,10,-,-,-,-,5,1,5,-,-,-,-,-,16,65,2,-,1,1,-,-,-,186,5,-,-,27,1963,22,11,-,7,-,6,578,8,-,-,6,-,-,7,-,3,1,3,-,-,-,-,6,-,3,-,-,-,2,8,140,613,65,-,-,5,-,2,2,12,1,134,227,12,1,14959,Shwegu,MMR001011
 Total,3069,22556,448,511,-,3,-,853,-,132,15,1,5,170,-,76,-,14,-,-,1,-,8,17,51,-,-,-,-,-,220,81,85,-,18,9,-,-,-,1066,12,25,139,40,3033,709,173,2,41,-,11,865,17,-,-,13,1,-,10,-,7,1,8,-,1,-,-,25,-,3,-,-,1,4,53,512,718,108,-,3,21,-,3,5,37,3,417,732,34,3,37199,Shwegu,MMR001011
 Male,1302,6827,12,13,-,-,-,316,-,21,1,-,-,3,-,20,-,3,-,-,-,1,5,4,17,-,-,-,-,-,5,9,26,-,1,2,-,-,-,297,8,4,52,1,343,236,3,1,1,1,-,29,3,1,-,8,1,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,1,-,18,498,38,21,-,4,-,-,-,2,53,5,48,67,8,4,10347,Momauk,MMR001012
 Female,1217,5205,1,3,-,-,-,139,-,8,1,-,5,89,-,22,-,2,-,-,-,-,4,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,133,9,3,4,1,799,11,-,1,-,-,-,96,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,92,271,44,1,1,-,-,-,-,28,-,39,62,5,3,8310,Momauk,MMR001012
 Total,2519,12032,13,16,-,-,-,455,-,29,2,-,5,92,-,42,-,5,-,-,-,1,9,4,17,-,-,-,-,-,5,12,27,-,1,2,-,-,-,430,17,7,56,2,1142,247,3,2,1,1,-,125,4,1,-,8,1,-,2,-,-,-,2,-,-,-,-,2,-,-,-,-,1,-,21,590,309,65,1,5,-,-,-,2,81,5,87,129,13,7,18657,Momauk,MMR001012
 Male,549,11323,28,6,-,-,-,349,-,14,-,-,-,5,-,11,-,5,-,-,-,-,1,-,12,-,-,1,-,2,19,6,19,-,1,2,-,-,-,298,32,4,88,5,380,263,-,-,-,-,1,90,2,-,-,3,-,-,3,-,-,-,1,-,-,-,-,5,-,-,-,-,-,-,6,319,52,15,-,5,3,-,-,-,47,-,72,173,1,2,14223,Mansi,MMR001013
 Female,698,8131,2,1,-,-,-,133,-,11,-,-,3,113,-,8,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,1,1,-,1,2,-,-,-,57,11,1,2,9,916,5,-,-,-,-,-,222,2,-,-,5,-,-,3,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,9,86,334,64,-,2,1,1,-,-,22,-,55,86,-,-,11004,Mansi,MMR001013
 Total,1247,19454,30,7,-,-,-,482,-,25,-,-,3,118,-,19,-,5,-,-,-,-,2,-,13,-,-,1,-,2,20,7,20,-,2,4,-,-,-,355,43,5,90,14,1296,268,-,-,-,-,1,312,4,-,-,8,-,-,6,-,-,-,1,-,-,-,-,5,-,2,-,1,-,-,15,405,386,79,-,7,4,1,-,-,69,-,127,259,1,2,25227,Mansi,MMR001013
 Male,33,653,198,43,-,-,-,68,1,-,-,-,-,1,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,6,-,-,2,-,-,-,22,-,-,1,-,44,21,6,-,1,-,-,10,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,4,-,-,-,-,-,-,-,-,3,4,8,-,1189,Myohla(ST),MMR001011
 Female,17,448,67,34,-,-,-,2,-,-,-,-,-,7,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,74,-,-,-,-,-,-,32,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,12,9,-,-,-,-,-,-,-,-,2,3,7,-,733,Myohla(ST),MMR001011
 Total,50,1101,265,77,-,-,-,70,1,-,-,-,-,8,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,6,-,-,2,-,-,-,24,-,-,1,-,118,21,6,-,1,-,-,42,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,12,13,-,-,-,-,-,-,-,-,5,7,15,-,1922,Myohla(ST),MMR001011
 Male,198,1345,17,-,-,-,-,3,-,4,-,-,-,4,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,6,7,-,3,-,-,-,-,42,-,2,47,-,191,67,-,-,17,-,6,38,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,79,12,2,-,-,4,-,1,-,-,-,71,72,2,-,2260,Lwe`ge`(ST),MMR001012
 Female,250,1037,14,-,-,-,-,2,-,5,-,-,1,15,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,5,-,-,4,1,294,2,-,-,1,-,2,70,2,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,4,19,61,9,1,-,9,-,-,1,-,-,52,45,-,-,1912,Lwe`ge`(ST),MMR001012
 Total,448,2382,31,-,-,-,-,5,-,9,-,-,1,19,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,1,7,7,-,3,-,-,-,-,47,-,2,51,1,485,69,-,-,18,-,8,108,4,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,17,98,73,11,1,-,13,-,1,1,-,-,123,117,2,-,4172,Lwe`ge`(ST),MMR001012
 Male,163,2624,4,5,-,-,-,22,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,3,-,-,-,-,37,-,1,9,2,38,9,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,9,3,-,-,-,-,-,-,4,-,5,13,-,-,3064,Dotphoneyan(ST),MMR001012
 Female,178,1635,-,-,-,-,-,2,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,92,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,12,44,8,-,-,-,-,-,-,1,-,6,14,-,-,2012,Dotphoneyan(ST),MMR001012
 Total,341,4259,4,5,-,-,-,24,-,1,-,-,-,9,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,3,-,-,-,-,42,-,1,9,5,130,9,-,-,-,-,-,4,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,111,53,11,-,-,-,-,-,-,5,-,11,27,-,-,5076,Dotphoneyan(ST),MMR001012
 Male,611,9763,40,6,-,-,-,142,-,7,-,-,2,1,-,26,-,11,-,-,1,-,2,1,3,-,-,-,-,-,16,7,20,-,5,-,-,-,-,176,15,2,27,3,160,152,3,23,-,-,56,19,3,-,-,3,-,-,1,-,4,-,2,-,-,-,-,1,-,-,-,2,2,2,26,672,123,12,2,162,-,1,-,3,223,1,24,9,5,3,12586,Putao,MMR001014
 Female,516,4773,4,-,-,-,-,15,-,2,-,-,4,38,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,3,-,-,13,387,3,-,2,-,-,46,70,-,-,-,-,-,-,2,-,3,-,1,-,-,-,-,1,-,2,-,-,-,-,14,151,329,54,1,62,-,-,-,-,105,-,17,22,1,1,6679,Putao,MMR001014
 Total,1127,14536,44,6,-,-,-,157,-,9,-,-,6,39,-,27,-,12,-,-,1,-,2,1,3,-,-,-,-,-,16,7,20,-,5,-,-,-,-,211,18,2,27,16,547,155,3,25,-,-,102,89,3,-,-,3,-,-,3,-,7,-,3,-,-,-,-,2,-,2,-,2,2,2,40,823,452,66,3,224,-,1,-,3,328,1,41,31,6,4,19265,Putao,MMR001014
 Male,30,383,6,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,21,5,1,-,2,17,9,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,46,5,-,-,3,1,-,-,-,15,-,1,-,-,-,573,Sumprabum,MMR001015
 Female,24,281,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,17,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,13,6,-,-,-,-,-,-,7,-,1,-,-,-,392,Sumprabum,MMR001015
 Total,54,664,6,-,-,-,-,22,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,23,5,1,-,5,34,9,-,-,-,-,-,1,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,79,18,6,-,3,1,-,-,-,22,-,2,-,-,-,965,Sumprabum,MMR001015
 Male,52,1478,6,5,-,-,-,13,-,-,-,-,-,-,-,7,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,55,-,-,-,-,13,11,-,-,-,-,1,2,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,182,41,8,1,18,-,-,-,-,55,-,-,1,-,-,1956,Machanbaw,MMR001016
 Female,50,1046,-,1,-,-,-,-,-,-,-,-,2,9,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,11,-,-,-,-,37,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,55,83,12,-,18,-,-,-,-,23,-,1,2,2,-,1362,Machanbaw,MMR001016
 Total,102,2524,6,6,-,-,-,13,-,-,-,-,2,9,-,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,66,-,-,-,-,50,11,-,-,-,-,1,6,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,237,124,20,1,36,-,-,-,-,78,-,1,3,2,-,3318,Machanbaw,MMR001016
 Male,494,2399,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,26,-,-,4,-,-,-,-,44,-,-,-,-,-,3023,Khaunglanphoo,MMR001018
 Female,346,606,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,14,-,-,-,-,-,-,-,8,-,-,-,-,-,989,Khaunglanphoo,MMR001018
 Total,840,3005,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,40,-,-,4,-,-,-,-,52,-,-,-,-,-,4012,Khaunglanphoo,MMR001018
 Male,30,617,12,1,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,12,-,-,1,-,15,1,-,-,-,-,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,40,2,-,4,-,-,-,-,65,-,-,-,-,-,977,Naungmoon,MMR001017
 Female,19,365,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,87,9,-,1,-,-,-,-,33,-,-,-,-,-,574,Naungmoon,MMR001017
 Total,49,982,12,1,-,-,-,-,-,-,-,-,1,2,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,2,-,-,-,-,-,-,12,-,-,1,-,37,1,-,-,-,-,-,3,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,127,11,-,5,-,-,-,-,98,-,-,-,-,-,1551,Naungmoon,MMR001017
 Male,2,287,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,33,5,-,-,15,-,-,-,-,19,-,-,-,-,-,387,Pannandin(ST),MMR001017
 Female,1,258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,13,1,-,6,-,-,-,-,9,-,-,-,-,-,297,Pannandin(ST),MMR001017
 Total,3,545,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,40,18,1,-,21,-,-,-,-,28,-,-,-,-,-,684,Pannandin(ST),MMR001017
 Male,1898,14596,557,46,-,2,12,213,4,129,40,2,26,74,-,93,10,15,2,-,2,-,38,19,98,-,2,1,-,-,470,58,275,-,62,45,-,-,-,3540,41,164,451,77,2018,2289,2,8,74,-,33,784,14,10,1,19,2,3,42,-,22,8,6,-,-,-,-,35,2,9,-,4,17,7,202,2461,170,120,2,11,34,-,10,23,201,11,512,315,51,13,32607,Loikaw,MMR002001
 Female,1709,11180,57,5,1,-,4,46,-,80,47,1,76,384,-,31,5,11,-,-,2,1,6,1,2,-,-,1,-,-,13,17,7,-,5,14,-,-,-,750,34,7,15,87,3182,43,-,6,-,2,38,1107,5,-,-,24,-,2,80,-,22,5,17,-,-,-,-,14,1,10,-,2,-,11,85,1214,1398,548,5,12,8,2,3,17,161,-,297,251,24,17,23212,Loikaw,MMR002001
 Total,3607,25776,614,51,1,2,16,259,4,209,87,3,102,458,-,124,15,26,2,-,4,1,44,20,100,-,2,2,-,-,483,75,282,-,67,59,-,-,-,4290,75,171,466,164,5200,2332,2,14,74,2,71,1891,19,10,1,43,2,5,122,-,44,13,23,-,-,-,-,49,3,19,-,6,17,18,287,3675,1568,668,7,23,42,2,13,40,362,11,809,566,75,30,55819,Loikaw,MMR002001
 Male,930,14877,199,66,-,1,3,221,-,43,2,-,-,3,-,29,-,3,-,-,-,-,22,4,15,-,-,1,-,-,54,13,45,-,6,5,-,-,-,864,17,6,86,6,187,335,1,-,4,-,2,70,2,-,-,3,1,1,1,-,-,-,1,-,-,-,-,7,1,-,-,-,2,-,34,586,132,40,-,10,10,1,-,1,113,2,76,132,4,2,19282,Dimawso,MMR002002
 Female,779,12077,3,4,-,1,-,42,-,7,30,-,6,88,-,14,-,2,-,-,-,-,7,-,-,-,-,-,-,-,4,5,-,-,-,-,-,-,1,113,18,-,1,6,510,1,-,-,1,-,-,197,2,-,-,4,-,3,2,-,2,-,1,-,-,-,-,-,-,1,-,-,-,1,14,173,648,143,4,13,1,-,1,-,63,-,48,65,1,1,15108,Dimawso,MMR002002
 Total,1709,26954,202,70,-,2,3,263,-,50,32,-,6,91,-,43,-,5,-,-,-,-,29,4,15,-,-,1,-,-,58,18,45,-,6,5,-,-,1,977,35,6,87,12,697,336,1,-,5,-,2,267,4,-,-,7,1,4,3,-,2,-,2,-,-,-,-,7,1,1,-,-,2,1,48,759,780,183,4,23,11,1,1,1,176,2,124,197,5,3,34390,Dimawso,MMR002002
 Male,271,6078,21,1,-,-,1,25,2,3,-,-,-,-,-,6,1,1,-,-,-,-,-,-,1,-,-,-,-,-,10,2,5,-,-,-,-,-,-,104,2,-,5,-,28,99,-,-,-,-,-,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,363,56,18,-,5,-,-,-,-,24,-,4,-,-,-,7147,Phruso,MMR002003
 Female,304,6607,-,-,-,-,-,1,1,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,99,1,-,-,-,-,-,34,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,71,174,69,-,3,-,-,-,-,18,-,6,2,1,-,7416,Phruso,MMR002003
 Total,575,12685,21,1,-,-,1,26,3,3,-,-,-,15,-,6,1,1,-,-,-,-,-,-,1,-,-,-,-,-,10,2,5,-,-,-,-,-,-,109,2,-,5,-,127,100,-,-,-,-,-,41,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,4,434,230,87,-,8,-,-,-,-,42,-,10,2,1,-,14563,Phruso,MMR002003
 Male,21,1685,7,-,-,-,-,-,-,4,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,25,-,-,3,-,13,12,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,10,10,-,-,-,-,-,-,10,-,1,-,-,-,1880,Shardaw,MMR002004
 Female,17,1624,-,-,-,-,-,1,-,1,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,39,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,35,37,17,-,-,-,-,-,-,4,-,1,5,-,-,1804,Shardaw,MMR002004
 Total,38,3309,7,-,-,-,-,1,-,5,-,-,1,6,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,-,-,-,-,-,-,27,-,-,3,-,52,12,-,-,-,-,-,12,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,105,47,27,-,-,-,-,-,-,14,-,2,5,-,-,3684,Shardaw,MMR002004
 Male,212,1280,33,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,2,1,-,-,-,-,-,-,102,3,1,10,-,41,59,-,-,-,-,-,4,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,304,12,3,-,-,1,-,-,-,8,-,1,-,-,-,2128,Bawlakhe,MMR002005
 Female,228,831,2,1,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,25,12,1,-,1,94,12,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,95,70,21,-,-,-,-,-,-,6,-,1,1,-,-,1426,Bawlakhe,MMR002005
 Total,440,2111,35,2,-,-,-,1,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,2,2,-,-,-,-,-,-,127,15,2,10,1,135,71,-,-,-,-,-,16,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,399,82,24,-,-,1,-,-,-,14,-,2,1,-,-,3554,Bawlakhe,MMR002005
 Male,388,2841,35,-,-,-,353,1933,7,-,1,-,-,2,-,2,-,5,-,-,-,-,-,-,7,-,-,-,-,-,36,1,7,-,2,1,-,-,-,150,23,-,22,1,182,147,21,-,12,-,-,69,-,-,2,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,208,15,6,-,2,1,-,-,-,88,-,86,45,-,1,6740,Parsaung,MMR002006
 Female,502,1325,-,-,-,-,116,709,13,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,4,-,-,3,313,2,-,-,1,-,-,111,-,-,-,3,-,-,-,-,1,-,1,-,-,-,-,-,-,4,-,-,-,-,7,100,105,23,-,-,-,-,-,-,35,-,22,35,-,-,3481,Parsaung,MMR002006
 Total,890,4166,35,-,-,-,469,2642,20,-,1,-,-,23,-,2,-,5,-,-,-,-,-,-,10,-,-,-,-,-,36,1,7,-,2,1,-,-,-,172,27,-,22,4,495,149,21,-,13,-,-,180,-,-,2,6,-,-,1,-,1,-,1,-,-,-,-,-,-,4,-,-,-,-,41,308,120,29,-,2,1,-,-,-,123,-,108,80,-,1,10221,Parsaung,MMR002006
 Male,66,1145,24,1,-,-,-,7,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,9,-,4,-,-,-,-,-,-,41,5,-,7,-,49,16,-,-,7,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,9,3,-,-,-,-,-,-,2,-,38,6,-,-,1674,Meisi,MMR002007
 Female,45,705,2,-,-,-,1,1,-,-,1,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,2,1,-,1,-,104,-,-,-,-,-,-,14,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,23,25,16,1,-,-,-,-,-,1,-,10,3,-,-,971,Meisi,MMR002007
 Total,111,1850,26,1,-,-,1,8,-,-,1,-,-,9,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,12,-,4,-,-,-,-,-,-,43,6,-,8,-,153,16,-,-,7,-,-,16,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,252,34,19,1,-,-,-,-,-,3,-,48,9,-,-,2645,Meisi,MMR002007
