Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Wooden house,8,-,8,Kyauktada,MMR013033
 Hut 2 - 3 years,2,-,2,Kyauktada,MMR013033
 Other,9,-,9,Kyauktada,MMR013033
 Total,6120,-,6120,Kyauktada,MMR013033
 Condominium/Apartment/Flat,5847,-,5847,Pabedan,MMR013034
 Bungalow/Brick house,468,-,468,Pabedan,MMR013034
 Semi-pacca house,229,-,229,Pabedan,MMR013034
 Wooden house,10,-,10,Pabedan,MMR013034
 Hut 2 - 3 years,1,-,1,Pabedan,MMR013034
 Hut 1 year,1,-,1,Pabedan,MMR013034
 Other,7,-,7,Pabedan,MMR013034
 Total,6563,-,6563,Pabedan,MMR013034
 Condominium/Apartment/Flat,7699,-,7699,Lanmadaw,MMR013035
 Bungalow/Brick house,396,-,396,Lanmadaw,MMR013035
 Semi-pacca house,188,-,188,Lanmadaw,MMR013035
 Wooden house,247,-,247,Lanmadaw,MMR013035
 Bamboo,33,-,33,Lanmadaw,MMR013035
 Hut 2 - 3 years,16,-,16,Lanmadaw,MMR013035
 Hut 1 year,6,-,6,Lanmadaw,MMR013035
 Other,14,-,14,Lanmadaw,MMR013035
 Total,8599,-,8599,Lanmadaw,MMR013035
 Condominium/Apartment/Flat,3976,-,3976,Latha,MMR013036
 Bungalow/Brick house,364,-,364,Latha,MMR013036
 Semi-pacca house,79,-,79,Latha,MMR013036
 Wooden house,54,-,54,Latha,MMR013036
 Total,4473,-,4473,Latha,MMR013036
 Condominium/Apartment/Flat,7556,-,7556,Ahlon,MMR013037
 Bungalow/Brick house,531,-,531,Ahlon,MMR013037
 Semi-pacca house,652,-,652,Ahlon,MMR013037
 Wooden house,1770,-,1770,Ahlon,MMR013037
 Bamboo,366,-,366,Ahlon,MMR013037
 Hut 2 - 3 years,12,-,12,Ahlon,MMR013037
 Hut 1 year,11,-,11,Ahlon,MMR013037
 Other,45,-,45,Ahlon,MMR013037
 Total,10943,-,10943,Ahlon,MMR013037
 Condominium/Apartment/Flat,8522,-,8522,Kyimyindine,MMR013038
 Bungalow/Brick house,1514,-,1514,Kyimyindine,MMR013038
 Semi-pacca house,1687,-,1687,Kyimyindine,MMR013038
 Wooden house,7761,-,7761,Kyimyindine,MMR013038
 Bamboo,3064,-,3064,Kyimyindine,MMR013038
 Hut 2 - 3 years,60,-,60,Kyimyindine,MMR013038
 Hut 1 year,31,-,31,Kyimyindine,MMR013038
 Other,423,-,423,Kyimyindine,MMR013038
 Total,23062,-,23062,Kyimyindine,MMR013038
 Condominium/Apartment/Flat,15372,-,15372,Sangyoung,MMR013039
 Bungalow/Brick house,964,-,964,Sangyoung,MMR013039
 Semi-pacca house,1585,-,1585,Sangyoung,MMR013039
 Wooden house,2607,-,2607,Sangyoung,MMR013039
 Bamboo,22,-,22,Sangyoung,MMR013039
 Hut 2 - 3 years,39,-,39,Sangyoung,MMR013039
 Hut 1 year,10,-,10,Sangyoung,MMR013039
 Other,36,-,36,Sangyoung,MMR013039
 Total,20635,-,20635,Sangyoung,MMR013039
 Condominium/Apartment/Flat,17803,-,17803,Hline,MMR013040
 Bungalow/Brick house,2665,-,2665,Hline,MMR013040
 Semi-pacca house,3494,-,3494,Hline,MMR013040
 Wooden house,7969,-,7969,Hline,MMR013040
 Bamboo,538,-,538,Hline,MMR013040
 Hut 2 - 3 years,52,-,52,Hline,MMR013040
 Hut 1 year,41,-,41,Hline,MMR013040
 Other,275,-,275,Hline,MMR013040
 Total,32837,-,32837,Hline,MMR013040
 Condominium/Apartment/Flat,12239,-,12239,Kamayut,MMR013041
 Bungalow/Brick house,1353,-,1353,Kamayut,MMR013041
 Semi-pacca house,1051,-,1051,Kamayut,MMR013041
 Wooden house,1444,-,1444,Kamayut,MMR013041
 Bamboo,139,-,139,Kamayut,MMR013041
 Hut 2 - 3 years,15,-,15,Kamayut,MMR013041
 Hut 1 year,17,-,17,Kamayut,MMR013041
 Other,41,-,41,Kamayut,MMR013041
 Total,16299,-,16299,Kamayut,MMR013041
 Condominium/Apartment/Flat,11020,-,11020,Mayangon,MMR013042
 Bungalow/Brick house,5069,-,5069,Mayangon,MMR013042
 Semi-pacca house,6806,-,6806,Mayangon,MMR013042
 Wooden house,14141,-,14141,Mayangon,MMR013042
 Bamboo,1315,-,1315,Mayangon,MMR013042
 Hut 2 - 3 years,157,-,157,Mayangon,MMR013042
 Hut 1 year,73,-,73,Mayangon,MMR013042
 Other,226,-,226,Mayangon,MMR013042
 Total,38807,-,38807,Mayangon,MMR013042
 Condominium/Apartment/Flat,3547,-,3547,Dagon,MMR013043
 Bungalow/Brick house,250,-,250,Dagon,MMR013043
 Semi-pacca house,196,-,196,Dagon,MMR013043
 Wooden house,472,-,472,Dagon,MMR013043
 Bamboo,38,-,38,Dagon,MMR013043
 Hut 2 - 3 years,43,-,43,Dagon,MMR013043
 Hut 1 year,9,-,9,Dagon,MMR013043
 Other,53,-,53,Dagon,MMR013043
 Total,4608,-,4608,Dagon,MMR013043
 Condominium/Apartment/Flat,8336,-,8336,Bahan,MMR013044
 Bungalow/Brick house,2769,-,2769,Bahan,MMR013044
 Semi-pacca house,2688,-,2688,Bahan,MMR013044
 Wooden house,3305,-,3305,Bahan,MMR013044
 Bamboo,193,-,193,Bahan,MMR013044
 Hut 2 - 3 years,22,-,22,Bahan,MMR013044
 Hut 1 year,26,-,26,Bahan,MMR013044
 Other,87,-,87,Bahan,MMR013044
 Total,17426,-,17426,Bahan,MMR013044
 Condominium/Apartment/Flat,175,-,175,Seikkan,MMR013045
 Bungalow/Brick house,121,-,121,Seikkan,MMR013045
 Semi-pacca house,38,-,38,Seikkan,MMR013045
 Wooden house,53,-,53,Seikkan,MMR013045
 Bamboo,6,-,6,Seikkan,MMR013045
 Hut 2 - 3 years,3,-,3,Seikkan,MMR013045
 Hut 1 year,5,-,5,Seikkan,MMR013045
 Other,9,-,9,Seikkan,MMR013045
 Total,410,-,410,Seikkan,MMR013045
 Condominium/Apartment/Flat,4365,396,4761,Taunggyi,MMR014001
 Bungalow/Brick house,17389,5499,22888,Taunggyi,MMR014001
 Semi-pacca house,8015,2677,10692,Taunggyi,MMR014001
 Wooden house,10576,3673,14249,Taunggyi,MMR014001
 Bamboo,15575,13291,28866,Taunggyi,MMR014001
 Hut 2 - 3 years,275,219,494,Taunggyi,MMR014001
 Hut 1 year,133,63,196,Taunggyi,MMR014001
 Other,320,138,458,Taunggyi,MMR014001
 Total,56648,25956,82604,Taunggyi,MMR014001
 Condominium/Apartment/Flat,68,67,135,Nyaungshwe,MMR014002
 Bungalow/Brick house,677,2399,3076,Nyaungshwe,MMR014002
 Semi-pacca house,397,2566,2963,Nyaungshwe,MMR014002
 Wooden house,1175,17664,18839,Nyaungshwe,MMR014002
 Bamboo,665,16272,16937,Nyaungshwe,MMR014002
 Hut 2 - 3 years,27,287,314,Nyaungshwe,MMR014002
 Hut 1 year,6,162,168,Nyaungshwe,MMR014002
 Other,44,158,202,Nyaungshwe,MMR014002
 Total,3059,39575,42634,Nyaungshwe,MMR014002
 Condominium/Apartment/Flat,261,156,417,Hopon,MMR014003
 Bungalow/Brick house,1676,1743,3419,Hopon,MMR014003
 Semi-pacca house,800,1623,2423,Hopon,MMR014003
 Wooden house,238,4759,4997,Hopon,MMR014003
 Bamboo,1512,11792,13304,Hopon,MMR014003
 Hut 2 - 3 years,35,62,97,Hopon,MMR014003
 Hut 1 year,5,39,44,Hopon,MMR014003
 Other,9,18,27,Hopon,MMR014003
 Total,4536,20192,24728,Hopon,MMR014003
 Condominium/Apartment/Flat,208,257,465,Hsihseng,MMR014004
 Bungalow/Brick house,488,2914,3402,Hsihseng,MMR014004
 Semi-pacca house,161,2039,2200,Hsihseng,MMR014004
 Wooden house,1200,8681,9881,Hsihseng,MMR014004
 Bamboo,533,15667,16200,Hsihseng,MMR014004
 Hut 2 - 3 years,43,147,190,Hsihseng,MMR014004
 Hut 1 year,8,34,42,Hsihseng,MMR014004
 Other,8,383,391,Hsihseng,MMR014004
 Total,2649,30122,32771,Hsihseng,MMR014004
 Condominium/Apartment/Flat,803,640,1443,Kalaw,MMR014005
 Bungalow/Brick house,4214,7314,11528,Kalaw,MMR014005
 Semi-pacca house,1407,3611,5018,Kalaw,MMR014005
 Wooden house,2173,3817,5990,Kalaw,MMR014005
 Bamboo,3681,11898,15579,Kalaw,MMR014005
 Hut 2 - 3 years,149,258,407,Kalaw,MMR014005
 Hut 1 year,60,34,94,Kalaw,MMR014005
 Other,111,1171,1282,Kalaw,MMR014005
 Total,12598,28743,41341,Kalaw,MMR014005
 Condominium/Apartment/Flat,21,12,33,Pindaya,MMR014006
 Bungalow/Brick house,1347,6283,7630,Pindaya,MMR014006
 Semi-pacca house,384,2761,3145,Pindaya,MMR014006
 Wooden house,131,1162,1293,Pindaya,MMR014006
 Bamboo,372,4968,5340,Pindaya,MMR014006
 Hut 2 - 3 years,-,67,67,Pindaya,MMR014006
 Hut 1 year,1,17,18,Pindaya,MMR014006
 Other,3,15,18,Pindaya,MMR014006
 Total,2259,15285,17544,Pindaya,MMR014006
 Condominium/Apartment/Flat,23,4,27,Ywarngan,MMR014007
 Bungalow/Brick house,509,4330,4839,Ywarngan,MMR014007
 Semi-pacca house,245,2838,3083,Ywarngan,MMR014007
 Wooden house,84,4616,4700,Ywarngan,MMR014007
 Bamboo,284,5076,5360,Ywarngan,MMR014007
 Hut 2 - 3 years,5,187,192,Ywarngan,MMR014007
 Hut 1 year,2,44,46,Ywarngan,MMR014007
 Other,3,98,101,Ywarngan,MMR014007
 Total,1155,17193,18348,Ywarngan,MMR014007
 Condominium/Apartment/Flat,1135,94,1229,Yatsauk,MMR014008
 Bungalow/Brick house,1160,2961,4121,Yatsauk,MMR014008
 Semi-pacca house,554,1851,2405,Yatsauk,MMR014008
 Wooden house,1408,5836,7244,Yatsauk,MMR014008
 Bamboo,1326,9120,10446,Yatsauk,MMR014008
 Hut 2 - 3 years,61,240,301,Yatsauk,MMR014008
 Hut 1 year,2,54,56,Yatsauk,MMR014008
 Other,31,124,155,Yatsauk,MMR014008
 Total,5677,20280,25957,Yatsauk,MMR014008
 Condominium/Apartment/Flat,278,29,307,Pinlaung,MMR014009
 Bungalow/Brick house,1790,7980,9770,Pinlaung,MMR014009
 Semi-pacca house,291,2016,2307,Pinlaung,MMR014009
 Wooden house,113,5088,5201,Pinlaung,MMR014009
 Bamboo,277,7168,7445,Pinlaung,MMR014009
 Hut 2 - 3 years,6,233,239,Pinlaung,MMR014009
 Hut 1 year,6,79,85,Pinlaung,MMR014009
 Other,9,141,150,Pinlaung,MMR014009
 Total,2770,22734,25504,Pinlaung,MMR014009
 Condominium/Apartment/Flat,433,180,613,Phekon,MMR014010
 Bungalow/Brick house,1254,2752,4006,Phekon,MMR014010
 Semi-pacca house,473,1930,2403,Phekon,MMR014010
 Wooden house,747,8743,9490,Phekon,MMR014010
 Bamboo,435,2670,3105,Phekon,MMR014010
 Hut 2 - 3 years,63,110,173,Phekon,MMR014010
 Hut 1 year,18,26,44,Phekon,MMR014010
 Other,8,242,250,Phekon,MMR014010
 Total,3431,16653,20084,Phekon,MMR014010
 Condominium/Apartment/Flat,26,9,35,Kyauktalongyi(ST),MMR014001
 Bungalow/Brick house,161,1468,1629,Kyauktalongyi(ST),MMR014001
 Semi-pacca house,87,1329,1416,Kyauktalongyi(ST),MMR014001
 Wooden house,91,2679,2770,Kyauktalongyi(ST),MMR014001
 Bamboo,234,6104,6338,Kyauktalongyi(ST),MMR014001
 Hut 2 - 3 years,2,64,66,Kyauktalongyi(ST),MMR014001
 Hut 1 year,-,5,5,Kyauktalongyi(ST),MMR014001
 Other,1,5,6,Kyauktalongyi(ST),MMR014001
 Total,602,11663,12265,Kyauktalongyi(ST),MMR014001
 Condominium/Apartment/Flat,1,93,94,Indaw(ST),MMR014008
 Bungalow/Brick house,181,579,760,Indaw(ST),MMR014008
 Semi-pacca house,260,708,968,Indaw(ST),MMR014008
 Wooden house,584,1591,2175,Indaw(ST),MMR014008
 Bamboo,773,3293,4066,Indaw(ST),MMR014008
 Hut 2 - 3 years,6,23,29,Indaw(ST),MMR014008
 Hut 1 year,2,17,19,Indaw(ST),MMR014008
 Other,29,10,39,Indaw(ST),MMR014008
 Total,1836,6314,8150,Indaw(ST),MMR014008
 Condominium/Apartment/Flat,15,393,408,Naungtayar(ST),MMR014009
 Bungalow/Brick house,586,2754,3340,Naungtayar(ST),MMR014009
 Semi-pacca house,60,1426,1486,Naungtayar(ST),MMR014009
 Wooden house,26,3709,3735,Naungtayar(ST),MMR014009
 Bamboo,291,6756,7047,Naungtayar(ST),MMR014009
 Hut 2 - 3 years,1,50,51,Naungtayar(ST),MMR014009
 Hut 1 year,-,11,11,Naungtayar(ST),MMR014009
 Other,-,501,501,Naungtayar(ST),MMR014009
 Total,979,15600,16579,Naungtayar(ST),MMR014009
 Condominium/Apartment/Flat,202,85,287,Loilem,MMR014011
 Bungalow/Brick house,570,916,1486,Loilem,MMR014011
 Semi-pacca house,370,335,705,Loilem,MMR014011
 Wooden house,1376,2338,3714,Loilem,MMR014011
 Bamboo,317,4275,4592,Loilem,MMR014011
 Hut 2 - 3 years,3,43,46,Loilem,MMR014011
 Hut 1 year,1,13,14,Loilem,MMR014011
 Other,14,43,57,Loilem,MMR014011
 Total,2853,8048,10901,Loilem,MMR014011
 Condominium/Apartment/Flat,19,108,127,Le`char,MMR014012
 Bungalow/Brick house,564,818,1382,Le`char,MMR014012
 Semi-pacca house,220,621,841,Le`char,MMR014012
 Wooden house,274,2411,2685,Le`char,MMR014012
 Bamboo,212,3423,3635,Le`char,MMR014012
 Hut 2 - 3 years,1,17,18,Le`char,MMR014012
 Hut 1 year,3,12,15,Le`char,MMR014012
 Other,37,50,87,Le`char,MMR014012
 Total,1330,7460,8790,Le`char,MMR014012
 Condominium/Apartment/Flat,423,488,911,Nanhsam(South),MMR014013
 Bungalow/Brick house,1377,1311,2688,Nanhsam(South),MMR014013
 Semi-pacca house,635,976,1611,Nanhsam(South),MMR014013
 Wooden house,1319,3472,4791,Nanhsam(South),MMR014013
 Bamboo,1023,7555,8578,Nanhsam(South),MMR014013
 Hut 2 - 3 years,14,63,77,Nanhsam(South),MMR014013
 Hut 1 year,1,32,33,Nanhsam(South),MMR014013
 Other,49,125,174,Nanhsam(South),MMR014013
 Total,4841,14022,18863,Nanhsam(South),MMR014013
 Condominium/Apartment/Flat,23,143,166,Kunhing,MMR014014
 Bungalow/Brick house,368,221,589,Kunhing,MMR014014
 Semi-pacca house,435,297,732,Kunhing,MMR014014
 Wooden house,250,552,802,Kunhing,MMR014014
 Bamboo,439,1718,2157,Kunhing,MMR014014
 Hut 2 - 3 years,22,48,70,Kunhing,MMR014014
 Hut 1 year,2,28,30,Kunhing,MMR014014
 Other,3,21,24,Kunhing,MMR014014
 Total,1542,3028,4570,Kunhing,MMR014014
 Condominium/Apartment/Flat,71,-,71,Kehsi,MMR014015
 Bungalow/Brick house,269,393,662,Kehsi,MMR014015
 Semi-pacca house,75,227,302,Kehsi,MMR014015
 Wooden house,309,3620,3929,Kehsi,MMR014015
 Bamboo,116,3778,3894,Kehsi,MMR014015
 Hut 2 - 3 years,-,17,17,Kehsi,MMR014015
 Hut 1 year,1,8,9,Kehsi,MMR014015
 Other,1,16,17,Kehsi,MMR014015
 Total,842,8059,8901,Kehsi,MMR014015
 Condominium/Apartment/Flat,8,2,10,Mongkai,MMR014016
 Bungalow/Brick house,506,393,899,Mongkai,MMR014016
 Semi-pacca house,297,560,857,Mongkai,MMR014016
 Wooden house,432,5810,6242,Mongkai,MMR014016
 Bamboo,450,7032,7482,Mongkai,MMR014016
 Hut 2 - 3 years,3,42,45,Mongkai,MMR014016
 Hut 1 year,-,78,78,Mongkai,MMR014016
 Other,523,196,719,Mongkai,MMR014016
 Total,2219,14113,16332,Mongkai,MMR014016
 Condominium/Apartment/Flat,23,4,27,Mineshu,MMR014017
 Bungalow/Brick house,488,531,1019,Mineshu,MMR014017
 Semi-pacca house,277,494,771,Mineshu,MMR014017
 Wooden house,414,1860,2274,Mineshu,MMR014017
 Bamboo,821,4010,4831,Mineshu,MMR014017
 Hut 2 - 3 years,29,158,187,Mineshu,MMR014017
 Hut 1 year,1,46,47,Mineshu,MMR014017
 Other,30,15,45,Mineshu,MMR014017
 Total,2083,7118,9201,Mineshu,MMR014017
 Condominium/Apartment/Flat,119,91,210,Panglong(ST),MMR014011
 Bungalow/Brick house,1524,156,1680,Panglong(ST),MMR014011
 Semi-pacca house,990,315,1305,Panglong(ST),MMR014011
 Wooden house,1752,4980,6732,Panglong(ST),MMR014011
 Bamboo,712,3696,4408,Panglong(ST),MMR014011
 Hut 2 - 3 years,13,15,28,Panglong(ST),MMR014011
 Hut 1 year,-,8,8,Panglong(ST),MMR014011
 Other,114,31,145,Panglong(ST),MMR014011
 Total,5224,9292,14516,Panglong(ST),MMR014011
 Condominium/Apartment/Flat,119,401,520,Kholan(ST),MMR014013
 Bungalow/Brick house,648,83,731,Kholan(ST),MMR014013
 Semi-pacca house,157,65,222,Kholan(ST),MMR014013
 Wooden house,274,618,892,Kholan(ST),MMR014013
 Bamboo,453,1370,1823,Kholan(ST),MMR014013
 Hut 2 - 3 years,33,36,69,Kholan(ST),MMR014013
 Hut 1 year,10,11,21,Kholan(ST),MMR014013
 Other,54,32,86,Kholan(ST),MMR014013
 Total,1748,2616,4364,Kholan(ST),MMR014013
 Condominium/Apartment/Flat,90,77,167,Karli(ST),MMR014014
 Bungalow/Brick house,685,273,958,Karli(ST),MMR014014
 Semi-pacca house,167,270,437,Karli(ST),MMR014014
 Wooden house,162,1790,1952,Karli(ST),MMR014014
 Bamboo,526,2446,2972,Karli(ST),MMR014014
 Hut 2 - 3 years,21,27,48,Karli(ST),MMR014014
 Hut 1 year,4,17,21,Karli(ST),MMR014014
 Other,10,2,12,Karli(ST),MMR014014
 Total,1665,4902,6567,Karli(ST),MMR014014
 Condominium/Apartment/Flat,-,245,245,Minenaung(ST),MMR014015
 Bungalow/Brick house,181,153,334,Minenaung(ST),MMR014015
 Semi-pacca house,88,229,317,Minenaung(ST),MMR014015
 Wooden house,64,853,917,Minenaung(ST),MMR014015
 Bamboo,402,3557,3959,Minenaung(ST),MMR014015
 Hut 2 - 3 years,9,9,18,Minenaung(ST),MMR014015
 Hut 1 year,4,12,16,Minenaung(ST),MMR014015
 Other,4,1,5,Minenaung(ST),MMR014015
 Total,752,5059,5811,Minenaung(ST),MMR014015
 Condominium/Apartment/Flat,45,40,85,Minesan(Monsan)(ST),MMR014017
 Bungalow/Brick house,11,104,115,Minesan(Monsan)(ST),MMR014017
 Semi-pacca house,111,166,277,Minesan(Monsan)(ST),MMR014017
 Wooden house,82,2042,2124,Minesan(Monsan)(ST),MMR014017
 Bamboo,251,1529,1780,Minesan(Monsan)(ST),MMR014017
 Hut 2 - 3 years,3,21,24,Minesan(Monsan)(ST),MMR014017
 Hut 1 year,4,14,18,Minesan(Monsan)(ST),MMR014017
 Other,-,2243,2243,Minesan(Monsan)(ST),MMR014017
 Total,507,6159,6666,Minesan(Monsan)(ST),MMR014017
 Condominium/Apartment/Flat,63,300,363,Linkhe`,MMR014018
 Bungalow/Brick house,174,291,465,Linkhe`,MMR014018
 Semi-pacca house,986,3549,4535,Linkhe`,MMR014018
 Wooden house,247,1325,1572,Linkhe`,MMR014018
 Bamboo,216,1072,1288,Linkhe`,MMR014018
 Hut 2 - 3 years,25,81,106,Linkhe`,MMR014018
 Hut 1 year,6,40,46,Linkhe`,MMR014018
 Other,1,12,13,Linkhe`,MMR014018
 Total,1718,6670,8388,Linkhe`,MMR014018
 Condominium/Apartment/Flat,6,205,211,Mone`,MMR014019
 Bungalow/Brick house,795,301,1096,Mone`,MMR014019
 Semi-pacca house,590,329,919,Mone`,MMR014019
 Wooden house,200,761,961,Mone`,MMR014019
 Bamboo,490,2254,2744,Mone`,MMR014019
 Hut 2 - 3 years,10,134,144,Mone`,MMR014019
 Hut 1 year,4,14,18,Mone`,MMR014019
 Other,8,123,131,Mone`,MMR014019
 Total,2103,4121,6224,Mone`,MMR014019
 Condominium/Apartment/Flat,72,8,80,Maukme`,MMR014020
 Bungalow/Brick house,228,230,458,Maukme`,MMR014020
 Semi-pacca house,375,457,832,Maukme`,MMR014020
 Wooden house,349,1952,2301,Maukme`,MMR014020
 Bamboo,153,3280,3433,Maukme`,MMR014020
 Hut 2 - 3 years,7,25,32,Maukme`,MMR014020
 Hut 1 year,8,4,12,Maukme`,MMR014020
 Other,-,46,46,Maukme`,MMR014020
 Total,1192,6002,7194,Maukme`,MMR014020
 Condominium/Apartment/Flat,227,209,436,Minepan,MMR014021
 Bungalow/Brick house,277,71,348,Minepan,MMR014021
 Semi-pacca house,420,116,536,Minepan,MMR014021
 Wooden house,734,1156,1890,Minepan,MMR014021
 Bamboo,290,1758,2048,Minepan,MMR014021
 Hut 2 - 3 years,8,75,83,Minepan,MMR014021
 Hut 1 year,2,39,41,Minepan,MMR014021
 Other,1,38,39,Minepan,MMR014021
 Total,1959,3462,5421,Minepan,MMR014021
 Condominium/Apartment/Flat,8,-,8,Homane(ST),MMR014018
 Bungalow/Brick house,31,2,33,Homane(ST),MMR014018
 Semi-pacca house,38,5,43,Homane(ST),MMR014018
 Wooden house,495,217,712,Homane(ST),MMR014018
 Bamboo,100,247,347,Homane(ST),MMR014018
 Hut 2 - 3 years,2,-,2,Homane(ST),MMR014018
 Other,-,15,15,Homane(ST),MMR014018
 Total,674,486,1160,Homane(ST),MMR014018
 Condominium/Apartment/Flat,314,-,314,Kengtaung(ST),MMR014019
 Bungalow/Brick house,222,-,222,Kengtaung(ST),MMR014019
 Semi-pacca house,190,-,190,Kengtaung(ST),MMR014019
 Wooden house,1193,24,1217,Kengtaung(ST),MMR014019
 Bamboo,97,138,235,Kengtaung(ST),MMR014019
 Hut 2 - 3 years,25,1,26,Kengtaung(ST),MMR014019
 Hut 1 year,9,1,10,Kengtaung(ST),MMR014019
 Other,47,-,47,Kengtaung(ST),MMR014019
 Total,2097,164,2261,Kengtaung(ST),MMR014019
 Condominium/Apartment/Flat,4101,398,4499,Lashio,MMR015001
 Bungalow/Brick house,15146,5763,20909,Lashio,MMR015001
 Semi-pacca house,4486,2395,6881,Lashio,MMR015001
 Wooden house,1702,3826,5528,Lashio,MMR015001
 Bamboo,8045,17430,25475,Lashio,MMR015001
 Hut 2 - 3 years,289,528,817,Lashio,MMR015001
 Hut 1 year,137,137,274,Lashio,MMR015001
 Other,193,356,549,Lashio,MMR015001
 Total,34099,30833,64932,Lashio,MMR015001
 Condominium/Apartment/Flat,69,505,574,Theinni,MMR015002
 Bungalow/Brick house,1160,2257,3417,Theinni,MMR015002
 Semi-pacca house,181,1381,1562,Theinni,MMR015002
 Wooden house,91,375,466,Theinni,MMR015002
 Bamboo,388,4738,5126,Theinni,MMR015002
 Hut 2 - 3 years,9,132,141,Theinni,MMR015002
 Hut 1 year,3,30,33,Theinni,MMR015002
 Other,22,438,460,Theinni,MMR015002
 Total,1923,9856,11779,Theinni,MMR015002
 Condominium/Apartment/Flat,87,131,218,Mineye`,MMR015003
 Bungalow/Brick house,433,249,682,Mineye`,MMR015003
 Semi-pacca house,159,477,636,Mineye`,MMR015003
 Wooden house,129,2978,3107,Mineye`,MMR015003
 Bamboo,527,7755,8282,Mineye`,MMR015003
 Hut 2 - 3 years,4,151,155,Mineye`,MMR015003
 Hut 1 year,2,58,60,Mineye`,MMR015003
 Other,129,59,188,Mineye`,MMR015003
 Total,1470,11858,13328,Mineye`,MMR015003
 Condominium/Apartment/Flat,239,240,479,Tantyan,MMR015004
 Bungalow/Brick house,2013,1252,3265,Tantyan,MMR015004
 Semi-pacca house,1031,773,1804,Tantyan,MMR015004
 Wooden house,439,6102,6541,Tantyan,MMR015004
 Bamboo,2990,19613,22603,Tantyan,MMR015004
 Hut 2 - 3 years,37,235,272,Tantyan,MMR015004
 Hut 1 year,4,58,62,Tantyan,MMR015004
 Other,55,61,116,Tantyan,MMR015004
 Total,6808,28334,35142,Tantyan,MMR015004
 Condominium/Apartment/Flat,1945,370,2315,MuSe,MMR015009
 Bungalow/Brick house,4385,1862,6247,MuSe,MMR015009
 Semi-pacca house,1658,1011,2669,MuSe,MMR015009
 Wooden house,503,481,984,MuSe,MMR015009
 Bamboo,4616,4808,9424,MuSe,MMR015009
 Hut 2 - 3 years,23,25,48,MuSe,MMR015009
 Hut 1 year,12,6,18,MuSe,MMR015009
 Other,192,317,509,MuSe,MMR015009
 Total,13334,8880,22214,MuSe,MMR015009
 Condominium/Apartment/Flat,44,95,139,Namkham,MMR015010
 Bungalow/Brick house,1674,946,2620,Namkham,MMR015010
 Semi-pacca house,1028,885,1913,Namkham,MMR015010
 Wooden house,1211,4439,5650,Namkham,MMR015010
 Bamboo,2101,8366,10467,Namkham,MMR015010
 Hut 2 - 3 years,3,189,192,Namkham,MMR015010
 Hut 1 year,2,37,39,Namkham,MMR015010
 Other,69,328,397,Namkham,MMR015010
 Total,6132,15285,21417,Namkham,MMR015010
 Condominium/Apartment/Flat,263,89,352,Kukai,MMR015011
 Bungalow/Brick house,1809,1358,3167,Kukai,MMR015011
 Semi-pacca house,682,858,1540,Kukai,MMR015011
 Wooden house,250,2106,2356,Kukai,MMR015011
 Bamboo,475,8962,9437,Kukai,MMR015011
 Hut 2 - 3 years,9,227,236,Kukai,MMR015011
 Hut 1 year,7,118,125,Kukai,MMR015011
 Other,1188,630,1818,Kukai,MMR015011
 Total,4683,14348,19031,Kukai,MMR015011
 Condominium/Apartment/Flat,181,20,201,Monekoe(ST),MMR015009
 Bungalow/Brick house,572,177,749,Monekoe(ST),MMR015009
 Semi-pacca house,269,511,780,Monekoe(ST),MMR015009
 Wooden house,77,410,487,Monekoe(ST),MMR015009
 Bamboo,141,1437,1578,Monekoe(ST),MMR015009
 Hut 2 - 3 years,2,7,9,Monekoe(ST),MMR015009
 Hut 1 year,2,4,6,Monekoe(ST),MMR015009
 Other,225,323,548,Monekoe(ST),MMR015009
 Total,1469,2889,4358,Monekoe(ST),MMR015009
 Condominium/Apartment/Flat,27,10,37,Manhero(ST),MMR015009
 Bungalow/Brick house,85,320,405,Manhero(ST),MMR015009
 Semi-pacca house,36,71,107,Manhero(ST),MMR015009
 Wooden house,9,106,115,Manhero(ST),MMR015009
 Bamboo,125,419,544,Manhero(ST),MMR015009
 Other,64,371,435,Manhero(ST),MMR015009
 Total,346,1297,1643,Manhero(ST),MMR015009
 Condominium/Apartment/Flat,168,22,190,Pansai(KyuKute)(ST),MMR015009
 Bungalow/Brick house,960,532,1492,Pansai(KyuKute)(ST),MMR015009
 Semi-pacca house,136,207,343,Pansai(KyuKute)(ST),MMR015009
 Wooden house,54,183,237,Pansai(KyuKute)(ST),MMR015009
 Bamboo,391,1731,2122,Pansai(KyuKute)(ST),MMR015009
 Hut 2 - 3 years,9,6,15,Pansai(KyuKute)(ST),MMR015009
 Hut 1 year,2,1,3,Pansai(KyuKute)(ST),MMR015009
 Other,48,93,141,Pansai(KyuKute)(ST),MMR015009
 Total,1768,2775,4543,Pansai(KyuKute)(ST),MMR015009
 Condominium/Apartment/Flat,104,28,132,Tamoenye(ST),MMR015011
 Bungalow/Brick house,806,591,1397,Tamoenye(ST),MMR015011
 Semi-pacca house,415,663,1078,Tamoenye(ST),MMR015011
 Wooden house,114,1005,1119,Tamoenye(ST),MMR015011
 Bamboo,544,7234,7778,Tamoenye(ST),MMR015011
 Hut 2 - 3 years,1,29,30,Tamoenye(ST),MMR015011
 Hut 1 year,4,7,11,Tamoenye(ST),MMR015011
 Other,499,1005,1504,Tamoenye(ST),MMR015011
